Sequences,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(Polymixia_loweiB;Polymixia_japonicaA),2.58587,2.55128,18591.9,754.155,737.097,17.0577,-0.382725,8325
(Polymixia_loweiB;Chaunax_spA),2.08026,2.06101,12139.2,288.18,284.142,4.03803,1.00548,8313
(Polymixia_loweiB;Gigantactis_vA),1.89845,1.98195,11505.2,942.232,936.205,6.02704,-1.47798,8292
(Polymixia_loweiB;Lophius_amerA),2.026,2.01077,11539.3,257.364,254.807,2.55681,0.798327,8319
(Polymixia_loweiB;Lophius_gastrophysus),1.15954,1.25857,5455.58,619.126,617.88,1.24632,0.0699628,8319
(Polymixia_loweiB;Brotula_multibarbataA),1.91727,1.92502,10600.6,66.4502,56.8728,9.57746,-1.44558,8319
(Polymixia_loweiB;Percopsis_omiscomaycusA),2.46326,2.49009,17309,22.8566,16.3272,6.52938,1.9605,8321
(Polymixia_loweiB;Mugil_cephalusA),2.1269,2.11085,12697.7,327.531,322.789,4.74216,1.14309,8319
(Polymixia_loweiB;Mugil_curema),2.14734,2.11672,12899,569.659,560.94,8.71921,0.91865,8319
(Polymixia_loweiB;Labidesthes_sicculusA),1.95448,1.97879,11085.9,22.6635,21.4344,1.22904,-0.0943657,8319
(Polymixia_loweiB;Atherinomorus_lacunosusA),1.87346,1.88682,10201.3,27.5176,25.3261,2.19157,0.234524,8310
(Polymixia_loweiB;Melanotaenia_spC),1.64036,1.69308,8497.48,135.338,125.657,9.68059,2.61576,8319
(Polymixia_loweiB;Rheocles_wrightaeA),2.10686,2.08296,12420.8,370.49,361.5,8.98951,0.636971,8319
(Polymixia_loweiB;Oryzias_latipes),2.03015,2.00204,11547.9,450.512,447.049,3.46332,-0.387494,8319
(Polymixia_loweiB;Platybelone_argalaA),1.80176,1.822,9518.6,12.8046,11.9314,0.873247,0.353056,8316
(Polymixia_loweiB;Strongylura_marinaA),1.83684,1.8491,9799,30.4394,26.6248,3.81466,1.6388,8319
(Polymixia_loweiB;Xenentodon_cancilaA),2.09106,2.06451,12230.5,436.558,422.535,14.0226,1.09279,8319
(Polymixia_loweiB;Cheilopogon_pinA),1.33033,1.41446,6354,391.403,381.187,10.2165,-1.86318,8325
(Polymixia_loweiB;Cypselurus_melanurusA),1.31458,1.39956,6255.4,375.004,366.569,8.4354,-1.44993,8325
(Polymixia_loweiB;Dermogenys_colletteiA),1.88772,1.96267,11230.5,804.882,800.527,4.35511,-1.09199,8319
(Polymixia_loweiB;Arrhamphus_sclerolepisA),1.43515,1.51275,7051.81,289.44,286.837,2.60286,0.863512,8310
(Polymixia_loweiB;Scomberesox_saurusA),1.36593,1.44622,6584.76,331.057,327.857,3.19922,-0.205756,8316
(Polymixia_loweiB;Fundulus_heteroclitus),1.63752,1.67856,8243.09,18.2925,17.3686,0.923827,0.887731,8316
(Polymixia_loweiB;Lucania_goodeiA),2.05789,2.11822,12759.2,478.204,474.358,3.84605,1.57566,8322
(Polymixia_loweiB;Gambusia_affinisA),2.02545,2.00233,11515.5,375.126,364.338,10.7874,1.32144,8319
(Polymixia_loweiB;Beryx_decadactylusA),1.7374,1.79341,9459.27,56.9949,54.3255,2.66939,-1.03958,8322
(Polymixia_loweiB;Hoplostethus_atlanticusA),2.2592,2.23211,14252.8,486.385,482.362,4.02332,0.295904,8319
