"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test"
"(Polymixia_loweiB;Polymixia_japonicaA)","Polymixia_loweiB","Polymixia_japonicaA",1.23440368016723e-159,754.155,1.89544209332214e-159,737.097,0.000687691119998703,17.0577,0.701923675948051,-0.382725,0,2.58587,0,2.55128,0,18591.9
"(Polymixia_loweiB;Chaunax_spA)","Polymixia_loweiB","Chaunax_spA",2.78466975777761e-59,288.18,2.68891388184391e-61,284.142,0.257386751078922,4.03803,0.314665775163501,1.00548,0,2.08026,0,2.06101,0,12139.2
"(Polymixia_loweiB;Gigantactis_vA)","Polymixia_loweiB","Gigantactis_vA",2.77965089058829e-200,942.232,1.24095482434734e-202,936.205,0.110302055735239,6.02704,0.139413131545548,-1.47798,0,1.89845,0,1.98195,0,11505.2
"(Polymixia_loweiB;Lophius_amerA)","Polymixia_loweiB","Lophius_amerA",1.09363577099241e-52,257.364,5.97177171625831e-55,254.807,0.465111669460124,2.55681,0.424680753600065,0.798327,0,2.026,0,2.01077,0,11539.3
"(Polymixia_loweiB;Lophius_gastrophysus)","Polymixia_loweiB","Lophius_gastrophysus",1.7449027709205e-130,619.126,1.34015820972265e-133,617.88,0.741917624855711,1.24632,0.944223268352973,0.0699628,0,1.15954,0,1.25857,0,5455.58
"(Polymixia_loweiB;Brotula_multibarbataA)","Polymixia_loweiB","Brotula_multibarbataA",2.18048181304906e-12,66.4502,2.73567872351929e-12,56.8728,0.0225214349011642,9.57746,0.148295039603976,-1.44558,0,1.91727,0,1.92502,0,10600.6
"(Polymixia_loweiB;Percopsis_omiscomaycusA)","Polymixia_loweiB","Percopsis_omiscomaycusA",0.00084595725188885,22.8566,0.000971603846581785,16.3272,0.0885110028021357,6.52938,0.0499373779812513,1.9605,0,2.46326,0,2.49009,0,17309
"(Polymixia_loweiB;Mugil_cephalusA)","Polymixia_loweiB","Mugil_cephalusA",1.02391896396768e-67,327.531,1.16144302967869e-69,322.789,0.191680787293783,4.74216,0.253001225761992,1.14309,0,2.1269,0,2.11085,0,12697.7
"(Polymixia_loweiB;Mugil_curema)","Polymixia_loweiB","Mugil_curema",8.1528468840448e-120,569.659,2.95526951363932e-121,560.94,0.0332667519209164,8.71921,0.358278670307801,0.91865,0,2.14734,0,2.11672,0,12899
"(Polymixia_loweiB;Labidesthes_sicculusA)","Polymixia_loweiB","Labidesthes_sicculusA",0.00091738034353211,22.6635,8.55220247295227e-05,21.4344,0.746048075903549,1.22904,0.924818661621795,-0.0943657,0,1.95448,0,1.97879,0,11085.9
"(Polymixia_loweiB;Atherinomorus_lacunosusA)","Polymixia_loweiB","Atherinomorus_lacunosusA",0.000115795163956207,27.5176,1.31966287061849e-05,25.3261,0.533610726520296,2.19157,0.814578203349328,0.234524,0,1.87346,0,1.88682,0,10201.3
"(Polymixia_loweiB;Melanotaenia_spC)","Polymixia_loweiB","Melanotaenia_spC",9.64517796499109e-27,135.338,4.66528733567957e-27,125.657,0.0214857977279573,9.68059,0.0089029110861969,2.61576,0,1.64036,0,1.69308,0,8497.48
"(Polymixia_loweiB;Rheocles_wrightaeA)","Polymixia_loweiB","Rheocles_wrightaeA",6.14144361619533e-77,370.49,4.82461908609268e-78,361.5,0.029430682415104,8.98951,0.524143733532475,0.636971,0,2.10686,0,2.08296,0,12420.8
"(Polymixia_loweiB;Oryzias_latipes)","Polymixia_loweiB","Oryzias_latipes",3.8083853178013e-94,450.512,1.42111405910101e-96,447.049,0.325550646222674,3.46332,0.698390525977133,-0.387494,0,2.03015,0,2.00204,0,11547.9
