
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44885,2.44945,199996,5.58018,2.5607,3.01947,1.4819,100000
(S1; S3),2.20006,2.20144,161546,2.14761,0.374307,1.77331,0.0944505,100000
(S1; S4),2.26284,2.26332,170755,2.21596,1.10158,1.11437,0.809167,100000
(S1; S5),2.08007,2.08025,144252,5.38494,2.97266,2.41228,1.50164,100000
(S1; S6),2.22792,2.22781,165442,6.99734,3.74967,3.24768,1.44394,100000
(S1; S7),2.25512,2.25581,169624,1.24268,0.484103,0.75858,0.323468,100000
(S1; S8),2.13766,2.13787,152352,2.10665,1.86753,0.23912,0.113107,100000
(S2; S3),2.35367,2.35452,184796,2.71294,2.11478,0.598168,0.00304222,100000
(S2; S4),2.41973,2.41961,195153,4.91879,2.74599,2.17279,-0.355545,100000
(S2; S5),2.22655,2.22616,165196,3.32242,0.76922,2.5532,1.19065,100000
(S2; S6),2.38257,2.38183,189107,3.47461,1.01876,2.45584,1.35733,100000
(S2; S7),2.41214,2.41224,193966,3.50511,1.33431,2.17081,-1.32606,100000
(S2; S8),2.28487,2.28449,173968,3.07577,1.64085,1.43492,-0.822705,100000
(S3; S4),2.4879,2.48872,206460,3.85519,3.34981,0.505374,0.252211,100000
(S3; S5),2.1087,2.10912,148285,5.45842,3.01866,2.43976,1.28963,100000
(S3; S6),2.25652,2.25668,169760,6.3443,4.65061,1.69369,1.00266,100000
(S3; S7),2.29001,2.29097,174954,1.78497,1.39939,0.385585,-0.598979,100000
(S3; S8),2.16848,2.16895,156817,3.94777,3.24412,0.703645,-0.697376,100000
(S4; S5),2.16833,2.16787,156658,3.63093,2.17195,1.45898,1.03308,100000
(S4; S6),2.3212,2.32041,179479,6.09566,2.6532,3.44246,1.41484,100000
(S4; S7),2.35533,2.35534,184922,1.60753,0.784934,0.822597,-0.388156,100000
(S4; S8),2.23002,2.22958,165703,2.40895,1.587,0.821944,-0.681805,100000
(S5; S6),2.52261,2.52142,211919,3.36608,1.25866,2.10742,0.273476,100000
(S5; S7),2.35665,2.35636,185084,5.04495,2.90025,2.14471,-0.748363,100000
(S5; S8),2.23161,2.23088,165898,4.02997,2.99222,1.03775,-0.558388,100000
(S6; S7),2.51799,2.51735,211238,4.2865,2.9788,1.3077,-0.904833,100000
(S6; S8),2.38664,2.38554,189696,2.50047,1.54,0.960468,-0.950136,100000
(S7; S8),2.76629,2.76599,255025,4.97221,2.00204,2.97017,-0.328491,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.45281,2.45257,200509,12.8137,5.22596,7.58778,1.80561,100000
(S1; S3),2.19893,2.19918,161215,3.93849,0.749628,3.18886,1.08963,100000
(S1; S4),2.26206,2.26227,170598,6.92756,0.451891,6.47567,2.28424,100000
(S1; S5),2.09107,2.09148,145814,6.71657,3.41527,3.3013,-0.14233,100000
(S1; S6),2.23747,2.23759,166896,4.8864,3.59241,1.29399,0.684064,100000
(S1; S7),2.26976,2.27007,171777,11.4344,1.34979,10.0846,2.18469,100000
(S1; S8),2.1546,2.15459,154746,11.4985,2.59482,8.90365,2.39614,100000
(S2; S3),2.35431,2.35396,184708,11.8006,4.58435,7.2162,0.0785338,100000
(S2; S4),2.41787,2.41747,194808,5.39388,4.02049,1.37339,0.891055,100000
(S2; S5),2.23363,2.23349,166289,14.853,12.4632,2.38971,-1.40185,100000
(S2; S6),2.39232,2.39183,190700,18.087,10.6828,7.40424,-0.37504,100000
(S2; S7),2.42678,2.42648,196265,8.76125,7.52744,1.23381,0.399751,100000
(S2; S8),2.30322,2.30261,176737,6.06023,4.96705,1.09319,0.95696,100000
(S3; S4),2.48964,2.48974,206628,7.74235,0.244005,7.49835,0.597582,100000
(S3; S5),2.11469,2.115,149111,9.25321,3.84239,5.41082,-0.327843,100000
(S3; S6),2.26103,2.26103,170413,7.5227,3.24091,4.28179,0.0703708,100000
(S3; S7),2.29651,2.29671,175835,15.7891,3.51522,12.2739,0.403529,100000
(S3; S8),2.17844,2.17831,158175,15.9688,4.02533,11.9434,1.29372,100000
(S4; S5),2.17477,2.17504,157697,6.81936,3.69981,3.11955,-1.50026,100000
(S4; S6),2.32735,2.3273,180549,6.86374,2.901,3.96274,-0.747774,100000
(S4; S7),2.36438,2.36454,186372,6.76954,2.57066,4.19888,-0.193573,100000
(S4; S8),2.24208,2.24191,167542,5.7799,2.90477,2.87513,0.260644,100000
(S5; S6),2.52079,2.52099,211850,8.09604,1.53607,6.55997,0.712018,100000
(S5; S7),2.35822,2.35863,185441,6.87784,3.24377,3.63407,1.86615,100000
