"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","simulation"
"(S1; S2)","S1","S2",0.750819066064497,3.44842,0.724962824951731,1.31758,0.545700868095942,2.13083,0.62091780384038,0.49455,1
"(S1; S3)","S1","S3",0.0735694473443618,11.5202,0.0136208250059455,10.6748,0.838575118757116,0.84542,0.757196016483715,-0.309165,1
"(S1; S4)","S1","S4",0.00520891173665744,18.4461,0.000623981401252963,17.2629,0.757026794678446,1.18324,0.769154520252709,-0.293481,1
"(S1; S5)","S1","S5",7.05713625829474e-05,28.6591,8.81399970478483e-06,26.1636,0.47609945411423,2.49553,0.334817357899758,-0.964456,1
"(S1; S6)","S1","S6",5.06582375723559e-07,39.7651,3.81938558770383e-08,37.3823,0.496848169753832,2.38278,0.248041289158645,-1.15512,1
"(S1; S7)","S1","S7",2.20584950551971e-05,31.3161,1.56561766290551e-06,29.7395,0.66470717408078,1.5766,0.726920399017938,0.349225,1
"(S1; S8)","S1","S8",0.000217599986400915,26.0534,1.47601129800425e-05,25.0936,0.810968652170449,0.959838,0.925493400912113,-0.0935163,1
"(S2; S3)","S2","S3",0.0343671824379283,13.6055,0.00518471515126755,12.7603,0.838623190705805,0.84522,0.413626183501055,-0.817529,1
"(S2; S4)","S2","S4",0.000316461002931227,25.1782,4.29949592252488e-05,22.8694,0.510833335279329,2.30882,0.485402985242018,-0.697639,1
"(S2; S5)","S2","S5",2.41566918302033e-06,36.2949,7.82791510186425e-07,31.17,0.162875812970601,5.12491,0.0367158255014908,-2.08891,1
"(S2; S6)","S2","S6",6.48073659944502e-09,49.3041,8.27378973087474e-10,45.2285,0.253417661440848,4.07558,0.177009567628317,-1.35002,1
"(S2; S7)","S2","S7",7.92777159730757e-07,38.7735,4.78494433041114e-08,36.9197,0.603291560531671,1.85383,0.861294936988994,-0.174726,1
"(S2; S8)","S2","S8",4.05030214267765e-05,29.9316,2.73200174350841e-06,28.589,0.719045353891797,1.34259,0.967655921126325,0.0405484,1
"(S3; S4)","S3","S4",0.418659679388837,6.04058,0.378656664886123,3.08532,0.398574766915734,2.95526,0.472789966630212,0.717947,1
"(S3; S5)","S3","S5",0.0301917466658918,13.9507,0.0201076396379732,9.82567,0.248270659379271,4.12508,0.23025975819189,-1.19969,1
"(S3; S6)","S3","S6",0.00260415587571666,20.15,0.000623715312637235,17.2638,0.409497719128133,2.88625,0.125631049633939,-1.53156,1
"(S3; S7)","S3","S7",0.00613620620474715,18.0387,0.00272001395693172,14.1405,0.272676440105177,3.89813,0.860530420968072,-0.175699,1
"(S3; S8)","S3","S8",0.0686912635712581,11.7128,0.0483887915501547,7.88778,0.280984657636463,3.82506,0.873682267509778,-0.158983,1
"(S4; S5)","S4","S5",0.410213315992727,6.11699,0.282538578106154,3.81161,0.511491025395751,2.30538,0.371634972784128,-0.893415,1
"(S4; S6)","S4","S6",0.0606588940006667,12.0593,0.0315779012388826,8.83424,0.358211252274211,3.22505,0.140920989799164,-1.47237,1
"(S4; S7)","S4","S7",0.0715949122429993,11.5967,0.0923154221151947,6.43367,0.160239826972067,5.16305,0.531489428321098,-0.625734,1
"(S4; S8)","S4","S8",0.144922402304063,9.55009,0.363098003886803,3.19104,0.0953900781037571,6.35905,0.509920812869431,-0.658961,1
"(S5; S6)","S5","S6",0.84467421222056,2.70654,0.634788296325698,1.70966,0.802005453127516,0.996886,0.587920465724811,-0.541852,1
"(S5; S7)","S5","S7",0.72815489285785,3.61841,0.732274664751944,1.28678,0.506488534851578,2.33163,0.521987330794713,0.640285,1
"(S5; S8)","S5","S8",0.74436878956418,3.497,0.771630989814563,1.12256,0.498410342771693,2.37444,0.385394880083377,0.867999,1
