
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.76297,2.76538,254911,4.22211,0.148439,4.07367,0.485398,100000
(S1; S3),2.48305,2.4859,205992,3.20613,1.80172,1.40441,-0.213128,100000
(S1; S4),2.54697,2.55011,216771,8.68869,5.5126,3.17608,-0.0371635,100000
(S1; S5),2.22808,2.2293,165664,2.17895,1.76602,0.412931,-0.497456,100000
(S1; S6),2.37991,2.38163,189075,3.79759,2.18395,1.61364,-0.3712,100000
(S1; S7),2.41013,2.4073,193198,56.5219,55.745,0.776826,-0.0950389,100000
(S1; S8),2.28127,2.27938,173207,33.3458,32.6447,0.701154,0.703045,100000
(S2; S3),2.35222,2.35501,184872,3.72006,1.41315,2.30691,-0.331451,100000
(S2; S4),2.41295,2.41601,194574,5.23507,3.38636,1.8487,-0.832796,100000
(S2; S5),2.11268,2.11391,148959,1.62184,1.45576,0.16608,0.109298,100000
(S2; S6),2.2541,2.2558,169626,2.67965,1.47228,1.20736,-0.266772,100000
(S2; S7),2.2858,2.2832,173794,49.088,48.4393,0.648706,0.575338,100000
(S2; S8),2.16215,2.16044,155605,30.4981,29.7135,0.784604,0.805056,100000
(S3; S4),2.47597,2.47982,204989,5.78871,4.88871,0.899993,0.871512,100000
(S3; S5),1.99948,2.0012,133503,6.23901,4.34855,1.89046,-0.0805824,100000
(S3; S6),2.13769,2.1399,152650,5.09319,4.30357,0.789611,-0.26366,100000
(S3; S7),2.16413,2.16229,155886,53.4887,51.782,1.70665,-0.260122,100000
(S3; S8),2.04853,2.04748,139769,36.1143,33.9504,2.16391,0.584517,100000
(S4; S5),2.05072,2.05265,140455,4.63745,3.69995,0.937501,0.450015,100000
(S4; S6),2.19201,2.19445,160528,3.00847,2.46195,0.54652,-0.295802,100000
(S4; S7),2.21964,2.21792,164013,62.5287,62.1812,0.347454,-0.429882,100000
(S4; S8),2.10142,2.10051,147100,41.276,40.6081,0.667851,0.763444,100000
(S5; S6),2.51855,2.51967,211627,2.82292,0.618095,2.20482,0.281449,100000
(S5; S7),2.35481,2.35139,184324,42.7447,42.2363,0.508402,0.708297,100000
(S5; S8),2.22728,2.2248,165006,25.8947,24.3747,1.52001,0.932203,100000
(S6; S7),2.51301,2.5098,210002,74.3333,68.7152,5.61808,0.922492,100000
(S6; S8),2.37716,2.37493,188031,45.9928,38.2809,7.71195,1.1712,100000
(S7; S8),2.76765,2.75971,253869,4.94489,3.90906,1.03583,0.575052,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.76442,2.76504,254850,7.71256,1.84563,5.86693,-1.42661,100000
