"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","simulation"
"(S1; S2)","S1","S2",0.646647133367554,4.22211,0.985449324159855,0.148439,0.253618198058921,4.07367,0.627394050799125,0.485398,1
"(S1; S3)","S1","S3",0.782566106825037,3.20613,0.614560716033932,1.80172,0.704501329004201,1.40441,0.831227125490759,-0.213128,1
"(S1; S4)","S1","S4",0.191857641297613,8.68869,0.137886937155092,5.5126,0.365265693941722,3.17608,0.970354641276255,-0.0371635,1
"(S1; S5)","S1","S5",0.90252671488829,2.17895,0.622357130588716,1.76602,0.937558488014509,0.412931,0.618867523655839,-0.497456,1
"(S1; S6)","S1","S6",0.704045658569187,3.79759,0.535116635752374,2.18395,0.656301011175618,1.61364,0.710488573111359,-0.3712,1
"(S1; S7)","S1","S7",2.28285930889682e-10,56.5219,4.76169133180723e-12,55.745,0.855001536131281,0.776826,0.924283929011485,-0.0950389,1
"(S1; S8)","S1","S8",8.99550291124468e-06,33.3458,3.82718972634578e-07,32.6447,0.872932483074905,0.701154,0.482027706145119,0.703045,1
"(S2; S3)","S2","S3",0.714498160378434,3.72006,0.702455213821631,1.41315,0.511198427110117,2.30691,0.740303847387325,-0.331451,1
"(S2; S4)","S2","S4",0.514036468104727,5.23507,0.335802669274373,3.38636,0.604395040858483,1.8487,0.404959791047936,-0.832796,1
"(S2; S5)","S2","S5",0.950994436937489,1.62184,0.692517879794765,1.45576,0.982869917748162,0.16608,0.912966132862114,0.109298,1
"(S2; S6)","S2","S6",0.84784504383841,2.67965,0.688682709243681,1.47228,0.751239626307078,1.20736,0.789644713952393,-0.266772,1
"(S2; S7)","S2","S7",7.15960613663517e-09,49.088,1.71704599360031e-10,48.4393,0.885197196637116,0.648706,0.565062726459268,0.575338,1
"(S2; S8)","S2","S8",3.16001712315475e-05,30.4981,1.5854525938933e-06,29.7135,0.853145898027488,0.784604,0.42078736498816,0.805056,1
"(S3; S4)","S3","S4",0.447270440201647,5.78871,0.180130099688318,4.88871,0.825429498302675,0.899993,0.383474656592961,0.871512,1
"(S3; S5)","S3","S5",0.396955699749358,6.23901,0.226203673609603,4.34855,0.595450343804076,1.89046,0.935774063445447,-0.0805824,1
"(S3; S6)","S3","S6",0.531917651439241,5.09319,0.230494967172738,4.30357,0.851950297486875,0.789611,0.792041920486216,-0.26366,1
"(S3; S7)","S3","S7",9.35318065835839e-10,53.4887,3.33324746834085e-11,51.782,0.63545636180818,1.70665,0.794769668347147,-0.260122,1
"(S3; S8)","S3","S8",2.61914467804948e-06,36.1143,2.02953385672473e-07,33.9504,0.539091912975099,2.16391,0.558872531196665,0.584517,1
"(S4; S5)","S4","S5",0.59107941159224,4.63745,0.295740065469417,3.69995,0.816369804239114,0.937501,0.65269962480347,0.450015,1
"(S4; S6)","S4","S6",0.807783006897455,3.00847,0.482206832785818,2.46195,0.908558548848655,0.54652,0.76738129553586,-0.295802,1
"(S4; S7)","S4","S7",1.3768865373448e-11,62.5287,2.00963299497469e-13,62.1812,0.95086994939007,0.347454,0.667281479778111,-0.429882,1
"(S4; S8)","S4","S8",2.55482588559438e-07,41.276,7.91834858738647e-09,40.6081,0.880738379051305,0.667851,0.445198647631123,0.763444,1
"(S5; S6)","S5","S6",0.830721506568856,2.82292,0.892277728780162,0.618095,0.530999605627001,2.20482,0.778366039729792,0.281449,1
"(S5; S7)","S5","S7",1.31028678618819e-07,42.7447,3.57459568318823e-09,42.2363,0.917041689345093,0.508402,0.478760839716726,0.708297,1
"(S5; S8)","S5","S8",0.000232925787583018,25.8947,2.08613458530275e-05,24.3747,0.677659792978467,1.52001,0.351231625378557,0.932203,1
"(S6; S7)","S6","S7",5.26459683174598e-14,74.3333,8.04151858409887e-15,68.7152,0.131744249529962,5.61808,0.356272001304962,0.922492,1
"(S6; S8)","S6","S8",2.97033971208154e-08,45.9928,2.46473268915964e-08,38.2809,0.0523554893339808,7.71195,0.241518395301227,1.1712,1
