
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),0.899212,0.902086,2728.42,8.63332,7.55796,1.07536,0.73118,10000
(S1; S3),0.504802,0.50194,879.74,28.1186,26.9897,1.12886,0.108829,10000
(S1; S4),0.0103099,0.00976397,1.8356,34.0687,32.8683,1.2004,-0.20231,10000
(S1; S5),0.00753821,0.00689485,8.40692,46.3382,43.0999,3.2383,1.32917,10000
(S2; S3),0.556446,0.554756,1064.27,17.662,11.1297,6.53234,-2.45462,10000
(S2; S4),-0.0158529,-0.0156698,11.7816,62.9856,55.4087,7.57697,0.930647,10000
(S2; S5),0.0190218,0.0187735,11.5221,77.2431,68.8632,8.37991,-0.268913,10000
(S3; S4),-0.000608368,-0.000476559,9.68343,114.927,110.234,4.69304,1.13216,10000
(S3; S5),-0.0144106,-0.014488,10.0851,127.16,124.753,2.40772,0.992912,10000
(S4; S5),0.89236,0.878183,2573.71,2.05673,1.00677,1.04996,0.400407,10000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),0.907174,0.889369,2707.97,12.1676,8.44376,3.72387,1.42428,10000
(S1; S3),0.56222,0.503589,1029.22,291.397,290.509,0.888445,0.332944,10000
(S1; S4),-0.0245235,-0.0329668,10.1496,240.559,235.111,5.44763,1.51197,10000
(S1; S5),-0.0312339,-0.0358442,13.0828,232.007,229.598,2.40873,-0.308928,10000
(S2; S3),0.631075,0.562329,1220.83,220.198,219.106,1.09148,0.177949,10000
(S2; S4),-0.0073578,-0.013025,9.58387,314.302,307.266,7.03672,-1.493,10000
(S2; S5),-0.00988116,-0.013178,3.03594,301.568,298.647,2.92094,-1.51076,10000
(S3; S4),-0.0507314,-0.0499011,13.8327,902.044,897.056,4.98782,0.223199,10000
(S3; S5),0.0143669,0.013292,22.424,887.09,885.937,1.15298,0.826762,10000
(S4; S5),0.838787,0.851193,2418.15,3.33935,0.388822,2.95053,-0.711903,10000
