"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test","simulation"
"(S1; S2)","S1","S2",0.195274132584861,8.63332,0.0560877652474834,7.55796,0.783025358412766,1.07536,0.464669214647813,0.73118,0,0.899212,0,0.902086,0,2728.42,1
"(S1; S3)","S1","S3",8.92511830546874e-05,28.1186,5.9167003729175e-06,26.9897,0.770112126209969,1.12886,0.913338121750252,0.108829,4.86756095436907e-187,0.504802,5.96109645323673e-185,0.50194,1.43330529599282e-183,879.74,1
"(S1; S4)","S1","S4",6.52499299185835e-06,34.0687,3.4334047415669e-07,32.8683,0.752908376729598,1.2004,0.839674382746107,-0.20231,0.275840741380699,0.0103099,0.2864713068965,0.00976397,0.993808502901689,1.8356,1
"(S1; S5)","S1","S5",2.53525422466952e-08,46.3382,2.34369411113684e-09,43.0999,0.356322866586797,3.2383,0.183791890192835,1.32917,0.331701824375861,0.00753821,0.34528769040571,0.00689485,0.493714603106019,8.40692,1
"(S2; S3)","S2","S3",0.00713479143561358,17.662,0.0110448194887317,11.1297,0.0883957825661397,6.53234,0.0141033584298105,-2.45462,9.42765382750296e-227,0.556446,2.16278898177133e-225,0.554756,2.37136550531136e-223,1064.27,1
"(S2; S4)","S2","S4",1.11123566951811e-11,62.9856,5.61718581154376e-12,55.4087,0.0556133982993074,7.57697,0.352036193850042,0.930647,0.819974420210289,-0.0158529,0.817186855667566,-0.0156698,0.22590357173096,11.7816,1
"(S2; S5)","S2","S5",1.32429102323343e-14,77.2431,7.47574442395874e-15,68.8632,0.0387791960262623,8.37991,0.78799663279335,-0.268913,0.136053314906794,0.0190218,0.139207113387094,0.0187735,0.24161046461749,11.5221,1
"(S3; S4)","S3","S4",1.89141012485935e-22,114.927,9.77184065937347e-24,110.234,0.195704444319984,4.69304,0.257567173461015,1.13216,0.514009624964139,-0.000608368,0.510975171655194,-0.000476559,0.376715874996065,9.68343,1
"(S3; S5)","S3","S5",5.09128075755613e-25,127.16,7.30526749425147e-27,124.753,0.49219916506342,2.40772,0.320752841299019,0.992912,0.797294505784884,-0.0144106,0.79855334030171,-0.014488,0.343639939360601,10.0851,1
"(S4; S5)","S4","S5",0.914407860725904,2.05673,0.799613821331824,1.00677,0.78916555255298,1.04996,0.688856769293528,0.400407,0,0.89236,0,0.878183,0,2573.71,1
"(S1; S2)","S1","S2",0.0583326094280407,12.1676,0.0376778510482419,8.44376,0.29286637524447,3.72387,0.154365434660489,1.42428,0,0.907174,0,0.889369,0,2707.97,2
"(S1; S3)","S1","S3",5.69884649879539e-60,291.397,1.12662487409493e-62,290.509,0.828215363503993,0.888445,0.739176555164864,0.332944,1.97069926258513e-231,0.56222,3.74731104650411e-186,0.503589,8.61398748924574e-216,1029.22,2
"(S1; S4)","S1","S4",4.26433376596534e-49,240.559,1.0856931922843e-50,235.111,0.141804693359349,5.44763,0.13054149459257,1.51197,0.921592473082381,-0.0245235,0.971501843053633,-0.0329668,0.33851063150581,10.1496,2
"(S1; S5)","S1","S5",2.85574550678266e-47,232.007,1.6893950661791e-49,229.598,0.492011604920277,2.40873,0.757376296973892,-0.308928,0.964328663345249,-0.0312339,0.980748803719641,-0.0358442,0.158895305099521,13.0828,2
"(S2; S3)","S2","S3",9.44142016416273e-45,220.198,3.13308766589963e-47,219.106,0.779131233596097,1.09148,0.858763028469539,0.177949,5.91571363008002e-291,0.631075,1.60624937047302e-231,0.562329,3.86074377019841e-257,1220.83,2
"(S2; S4)","S2","S4",7.03589138815015e-65,314.302,2.66158141889538e-66,307.266,0.0707365450646647,7.03672,0.135437186901192,-1.493,0.664509774919002,-0.0073578,0.773974087418118,-0.013025,0.385210608277365,9.58387,2
