Sequences compared,Sat_test_Cassius_1,Sat_test_Cassius_2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(Amida_ccoc079; Amphix_CO318),2.17384,2.18978,3158.88,13.9424,9.61578,4.32666,1.0045,1926
(Amida_ccoc079; Apolinus_ccoc239),2.59327,2.54643,2528.6,8.45736,4.34884,4.10852,0.578654,1214
(Amida_ccoc079; Aspidimerus_ccoc134),2.5595,2.52655,2704.89,5.80121,4.88025,0.92096,-0.84277,1308
(Amida_ccoc079; Axion_ccoc123),2.39312,2.38706,3830.06,18.3158,6.08436,12.2315,-0.145605,1995
(Amida_ccoc079; Brachiacantha_ccoc124),2.6375,2.60278,2862.53,4.43451,1.85419,2.58033,-0.792089,1309
(Amida_ccoc079; Brumoides_ccoc098),2.29495,2.31901,3556.05,13.8207,9.55604,4.26469,-1.11506,1946
(Amida_ccoc079; Bucolellus_ccoc144),2.50924,2.4919,2752.3,14.7639,12.3683,2.39562,0.989559,1375
(Amida_ccoc079; Bucolus_ccoc056),1.93882,1.92845,963.409,9.68783,6.08247,3.60536,-1.39244,607
(Amida_ccoc079; Bulaea_AG04),2.36396,2.37235,3850.81,8.4521,4.05392,4.39818,-0.91245,2021
(Amida_ccoc079; Carinodulinka_ccoc109),1.91617,1.93491,1974.05,16.8801,12.2703,4.60982,-0.00964643,1351
(Amida_ccoc079; Cephaloscymnus_ccoc111),2.342,2.36799,3727.44,8.33701,5.52542,2.81158,-1.40468,1962
(Amida_ccoc079; Chaetolotis_ccoc069),2.59237,2.57289,2943.52,11.2365,8.2643,2.97218,-0.0835862,1375
(Amida_ccoc079; Chilocorellus_AGNM04),2.33256,2.37739,3819.82,41.546,32.1448,9.40128,-2.68246,1988
(Amida_ccoc079; Chilocorus_ccoc118),2.49861,2.4797,2602.88,18.1987,14.0339,4.1648,-1.19629,1303
(Amida_ccoc079; Chnoodes_ccoc231),2.58033,2.53575,2632.94,8.32245,4.20807,4.11437,-0.729305,1262
(Amida_ccoc079; Chnootriba_ccoc210),2.37551,2.38705,3775.47,5.84925,0.155842,5.69341,0.896641,1942
(Amida_ccoc079; Coccidophilus_AGNM05),2.18354,2.17568,3215.84,10.9929,2.95631,8.03656,-1.94314,2007
(Amida_ccoc079; Coccidula_ccoc223),2.38892,2.39435,3697.29,3.02848,1.50609,1.52239,0.805441,1902
(Amida_ccoc079; Coccinella_CO571),2.24014,2.27391,3184.95,12.8987,2.49663,10.4021,-2.25427,1780
(Amida_ccoc079; Cranophorus_AG06),2.41838,2.42844,4067.52,29.1412,24.4315,4.7097,-0.00685571,2025
(Amida_ccoc079; Cryptognatha_CO727),2.35237,2.37068,3825.13,13.3742,8.28403,5.09016,-0.347634,2007
(Amida_ccoc079; Cryptolaemus_AG05),2.42554,2.45566,3973.39,8.45879,6.6213,1.83749,0.559468,1943
(Amida_ccoc079; Cryptolaemus_ccoc238),2.73479,2.67116,2846.59,10.4034,2.96245,7.44097,0.627828,1247
(Amida_ccoc079; Curticornis_ccoc228),2.31195,2.32104,3568.67,11.5545,1.3562,10.1983,-0.108506,1937
(Amida_ccoc079; Cynegetis_ccoc226),2.56771,2.52522,2624.92,8.30037,1.83363,6.46673,-1.10668,1257
(Amida_ccoc079; Cyra_ccoc232),2.39425,2.39905,3582.99,7.81895,0.667992,7.15096,0.133679,1825
(Amida_ccoc079; Delphastus_CO577),2.23932,2.24785,3449.36,7.92847,5.59754,2.33093,-1.05945,2011
(Amida_ccoc079; Diomus_ccoc165),2.47754,2.4879,4019.83,5.96375,5.11797,0.845776,0.287993,1918
(Amida_ccoc079; Diomus_ccoc175),2.41994,2.44469,3911.33,7.23795,6.63227,0.605686,0.222617,1934
(Amida_ccoc079; Epilachna_ccoc052),2.43316,2.45325,4168.51,14.3984,5.29814,9.10023,0.562885,2050
(Amida_ccoc079; Erithionyx_ccoc072),2.44906,2.45913,4196.49,2.3696,0.718609,1.65099,0.418949,2056
(Amida_ccoc079; Exochomus_ccoc211),2.3525,2.36883,3407.01,16.8814,12.0695,4.81189,-1.95257,1801
(Amida_ccoc079; Exochomus_ccoc214),2.00652,2.04164,2242.26,18.0442,6.36403,11.6801,-1.04204,1327
(Amida_ccoc079; Ghanius_ccoc116),2.43046,2.46366,4178.57,16.6102,8.49844,8.11174,-1.92358,2053
(Amida_ccoc079; Glomerella_ccoc112),2.60972,2.56086,2914.59,4.50386,1.67331,2.83056,-0.826793,1386
(Amida_ccoc079; Guillermo_ccoc070),2.58865,2.53832,2820.44,1.67601,0.77157,0.904435,-0.664745,1356
(Amida_ccoc079; Habrolotis_ccoc170),1.82272,1.81669,915.2,12.2145,1.75865,10.4559,-1.65376,670
(Amida_ccoc079; Halmus_CO467),2.29811,2.32058,3689.67,16.5868,14.6245,1.96233,0.309801,2015
(Amida_ccoc079; Halyzia_ccoc041),2.32694,2.3451,3679.45,3.83711,2.79003,1.04708,-0.799318,1985
(Amida_ccoc079; Hippodamia_CO627),2.34784,2.36762,3834.51,13.1084,9.66004,3.44833,0.0998855,2019
(Amida_ccoc079; Horniolus_ccoc135),2.937,2.75547,1374.71,12.7556,7.56651,5.18905,-1.13042,624
(Amida_ccoc079; Hyperaspis_ccoc224),2.4927,2.51756,4092.85,12.9608,10.5299,2.43092,0.739153,1896
(Amida_ccoc079; Hypoceras_ccoc074),2.34654,2.37431,3791.3,15.983,11.8308,4.15222,-0.542183,2000
(Amida_ccoc079; Illeis_cincta_ccoc046),2.35295,2.35823,3153.81,9.19914,2.81738,6.38176,-1.5039,1690
(Amida_ccoc079; Irracilda_ccoc078),2.63747,2.60099,2953.14,11.6296,8.58483,3.04474,-0.170163,1360
(Amida_ccoc079; Jauravia_ccoc145),2.48276,2.45757,2518.94,2.32048,0.785734,1.53474,-1.05571,1273
(Amida_ccoc079; Lorma_ccoc113),2.34033,2.3533,3657.42,6.26418,0.306549,5.95763,1.31309,1923
(Amida_ccoc079; Lotis_ccoc146),2.39441,2.38797,3971.13,11.2353,7.55736,3.67793,-0.0177428,2056
(Amida_ccoc079; Lotis_ccoc147),2.48255,2.45009,2446.24,6.0283,0.855447,5.17285,0.498397,1238
(Amida_ccoc079; Microrhyzobius_ccoc166),1.98922,2.01291,2160.95,6.35823,0.535527,5.82271,0.858514,1352
(Amida_ccoc079; Microweisea_ccoc121),2.21303,2.22191,3306.13,5.56637,2.19331,3.37306,-0.422491,1992
(Amida_ccoc079; Monocoryna_AG01),2.39084,2.41684,3860.95,31.7193,24.5024,7.21694,-0.952784,1942
(Amida_ccoc079; Nephus_ccoc215),2.40086,2.41718,3626.47,10.2148,7.54231,2.67247,-0.697844,1831
(Amida_ccoc079; Nesolotis_ccoc245),3.15579,2.94764,1561.6,6.08571,4.10118,1.98453,-0.598204,619
(Amida_ccoc079; Nexophallus_ccoc247),2.57095,2.5389,2852.07,11.6848,5.56349,6.12127,-0.353232,1379
(Amida_ccoc079; Orcus_CO587),2.36344,2.38762,3907.46,27.0797,18.1881,8.89157,-2.34991,2019
(Amida_ccoc079; Ortalia_ccoc060),2.31561,2.34463,2908.63,11.7588,4.90878,6.85005,-0.18341,1346
(Amida_ccoc079; Paraphellus_ccoc139),2.28093,2.3195,3664.41,21.9239,17.868,4.05589,-0.619421,2025
(Amida_ccoc079; Pentilia_ccoc126),3.06653,2.88907,1730.45,-nan,19.5451,-nan,-nan,704
(Amida_ccoc079; Periptyctus_ccoc233),2.80728,2.65079,1186.36,21.375,16.502,4.87298,-1.2068,581
(Amida_ccoc079; Periptyctus_CO712),2.83151,2.67116,1242.24,22.0482,18.3512,3.69699,-0.831968,598
(Amida_ccoc079; Platynaspis_ccoc082),2.43406,2.43417,3921.53,1.36156,0.56399,0.797574,-0.0705336,1971
(Amida_ccoc079; Plotina_ccoc143),2.3176,2.33193,3799.99,6.42542,2.64838,3.77704,-0.94523,2056
(Amida_ccoc079; Poorani_ccoc088),2.39873,2.40914,3934.16,10.1195,3.69283,6.42669,-1.02412,1997
(Amida_ccoc079; Poria_CO720),2.39576,2.4045,3977.14,4.9577,2.64321,2.31449,0.176308,2024
(Amida_ccoc079; Prodrilis_ccoc106),2.59147,2.56594,2950.06,26.6518,16.3207,10.3311,-0.46825,1387
(Amida_ccoc079; Pseudazya_ccoc227),2.49706,2.47158,2515.53,4.62382,3.07574,1.54808,0.442614,1260
(Amida_ccoc079; Pseudoscymnus_ccoc137),2.2658,2.29744,3630.01,15.6552,13.4326,2.22259,-0.196,2028
(Amida_ccoc079; Rhynchortalia_ccoc241),2.44649,2.46501,3942.87,4.45461,0.141475,4.31313,-0.0765304,1919
(Amida_ccoc079; Rhyzobius_ccoc075),3.22816,3.018,1907.01,12.8095,10.221,2.58852,-0.865436,705
(Amida_ccoc079; Rhyzobius_ccoc102),2.36901,2.37745,3919.27,6.13891,0.218898,5.92001,-0.733405,2057
(Amida_ccoc079; Rhyzobius_ccoc176),2.5267,2.50499,2635.86,3.91345,0.523982,3.38946,0.537987,1298
(Amida_ccoc079; Rhyzobius_ccoc219),2.39479,2.40979,3835.23,10.2798,3.67574,6.60405,-1.74495,1941
(Amida_ccoc079; Rhyzobius_ccoc222),2.52128,2.49526,2542.24,9.82641,4.30827,5.51814,-1.93744,1253
(Amida_ccoc079; Rodolia_ccoc172),1.89639,1.90904,980.988,19.4267,11.387,8.03963,-0.147551,681
(Amida_ccoc079; Rodolia_ccoc174),2.14633,2.15167,3103.6,8.002,5.19495,2.80704,0.527426,1974
(Amida_ccoc079; Roger_ccoc164),2.47768,2.44254,2515.75,8.50639,0.661366,7.84502,-1.1182,1294
(Amida_ccoc079; Sarapidius_AG09),2.23887,2.24578,3411.61,23.3466,4.51098,18.8356,-1.54793,1990
(Amida_ccoc079; Sasajiella_ccoc142),2.42397,2.43199,3920.45,12.1856,3.93742,8.24815,-1.16065,1961
(Amida_ccoc079; Scymnodes_ccoc155),2.49825,2.52404,4270.02,14.1298,10.8375,3.29233,-0.98176,1994
(Amida_ccoc079; Scymnodes_ccoc237),2.48167,2.47622,3977.8,11.1796,3.19555,7.98408,0.141517,1928
(Amida_ccoc079; Scymnomorphus_ccoc178),2.22289,2.2465,3413.74,30.3905,29.185,1.20558,-0.841924,1978
(Amida_ccoc079; Scymnus_ccoc129),2.605,2.57444,2807.86,8.11905,7.21386,0.905189,0.0294449,1309
(Amida_ccoc079; Scymnus_ccoc216),2.43535,2.45599,3734.03,18.0387,12.8848,5.15399,-1.61798,1828
(Amida_ccoc079; Seladia_COC224),2.33276,2.34438,3424.59,8.54639,7.16322,1.38318,-1.17289,1847
(Amida_ccoc079; Selvadius_CO822),2.4065,2.41636,4002.87,12.006,2.53569,9.47027,0.0532819,2018
(Amida_ccoc079; Serangium_ccoc140),2.24948,2.2693,3426.04,12.7634,3.69349,9.06993,-2.50503,1981
(Amida_ccoc079; Stethorus_ccoc107),2.59115,2.55528,2912.85,9.57491,4.37769,5.19722,0.282834,1383
(Amida_ccoc079; Sticholotis_ccoc148),2.37304,2.39348,3601.43,10.1029,8.49187,1.611,-0.185945,1832
(Amida_ccoc079; Subcoccinella_ccoc221),2.39921,2.40755,3854.97,8.24919,3.15321,5.09598,-0.047229,1944
(Amida_ccoc079; Sumnius_ccoc161),2.38611,2.40749,3778.81,10.499,8.01194,2.48706,1.31406,1907
(Amida_ccoc079; Synonychomorpha_ccoc100),2.34694,2.36879,3764.65,4.83999,0.359232,4.48076,-0.530711,1978
(Amida_ccoc079; Telsimia_ccoc173),2.31821,2.34089,3799.45,17.5776,5.71663,11.861,-1.49572,2056
(Amida_ccoc079; Tenuisvalvae_ccoc130),2.47816,2.48914,4292.73,7.97817,2.74283,5.23534,0.855134,2056
(Amida_ccoc079; Tetrabrachys_ccoc249),2.4073,2.41562,3795.51,8.42465,2.78285,5.64181,-1.85851,1924
(Amida_ccoc079; Trichorcus_ccoc087),2.95337,2.77869,1289.02,15.5326,14.3832,1.14935,-1.16726,580
(Amphix_CO318; Apolinus_ccoc239),2.33166,2.29503,1875.32,16.1553,15.7379,0.417354,0.434533,1112
(Amphix_CO318; Aspidimerus_ccoc134),2.41322,2.38757,2526.9,11.3041,2.94321,8.36089,0.158059,1372
(Amphix_CO318; Axion_ccoc123),2.24579,2.24436,3250.76,24.6789,23.4104,1.26849,-0.711682,1902
(Amphix_CO318; Brachiacantha_ccoc124),2.44517,2.41785,2587.54,5.01608,4.02669,0.989389,0.279642,1370
(Amphix_CO318; Brumoides_ccoc098),2.21587,2.24408,3396.45,6.91826,4.66574,2.25252,0.412623,1998
(Amphix_CO318; Bucolellus_ccoc144),2.29594,2.28512,2208.95,12.3582,9.24183,3.11641,-0.121177,1308
(Amphix_CO318; Bucolus_ccoc056),1.75949,1.749,712.644,7.7714,6.04347,1.72793,-1.01748,536
(Amphix_CO318; Bulaea_AG04),2.14471,2.15747,3129.46,5.82792,4.00286,1.82505,-1.04559,1986
(Amphix_CO318; Carinodulinka_ccoc109),1.96098,1.98084,1980.9,18.1596,14.8687,3.29098,-0.418539,1291
(Amphix_CO318; Cephaloscymnus_ccoc111),2.21013,2.24115,3317.37,3.02659,2.80691,0.21968,0.456957,1942
(Amphix_CO318; Chaetolotis_ccoc069),2.37066,2.35824,2353.82,5.44055,4.71963,0.720921,-0.69519,1314
(Amphix_CO318; Chilocorellus_AGNM04),2.17163,2.21559,3152.41,19.4837,10.8099,8.67384,-1.94253,1873
(Amphix_CO318; Chilocorus_ccoc118),2.3667,2.35543,2451.59,7.56984,3.05101,4.51884,0.830383,1365
(Amphix_CO318; Chnoodes_ccoc231),2.39278,2.35764,2396.22,7.70506,3.4886,4.21646,-1.49343,1340
(Amphix_CO318; Chnootriba_ccoc210),2.26684,2.28297,3434.22,7.67876,6.36729,1.31148,0.634553,1960
(Amphix_CO318; Coccidophilus_AGNM05),2.10753,2.10338,2968.2,16.4489,13.3333,3.11557,-1.44048,1981
(Amphix_CO318; Coccidula_ccoc223),2.25575,2.26582,3308.56,14.3316,8.78766,5.54392,-1.14277,1920
(Amphix_CO318; Coccinella_CO571),2.04596,2.08144,2545.9,7.87749,2.28627,5.59122,-1.02025,1666
(Amphix_CO318; Cranophorus_AG06),2.26242,2.27753,3488.16,18.3005,16.6409,1.65956,-0.977109,1989
