Sequences compared,Sat_test_Cassius_1,Sat_test_Cassius_2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(M._australis_II; M._australis_I),3.066,2.94074,19236.9,8.55065,7.08221,1.46844,0.382586,6672
(M._australis_II; M._duboulayi_I),2.93145,2.81486,17637.5,10.835,1.70255,9.13245,-0.154808,6669
(M._australis_II; M._duboulayi_II),2.5383,2.47461,13980.2,532.992,531.151,1.84058,-1.10506,6670
(M._australis_II; M._eachamensis),2.97465,2.85027,18089.4,9.13414,5.23174,3.90239,1.28597,6672
(M._australis_II; M._fluviatilis),2.92683,2.8118,17606.4,6.90069,1.89358,5.00711,-0.8833,6670
(M._australis_II; M._utcheensis),2.9337,2.81564,17655.9,6.7502,3.35663,3.39357,0.158546,6672
(M._australis_II; M._trifasciata_I_MT),2.41316,2.40343,13337.3,633.132,629.948,3.18417,-0.004314,6672
(M._australis_II; M._trifasciata_I_S7),0.278,0.222003,2301.71,4250.8,4250.18,0.615724,-0.285782,6666
(M._australis_II; M._s._inornata_S7),2.27491,2.27198,11985.1,607.071,599.846,7.22543,3.06875,6672
(M._australis_II; M._s._inornata_MT),0.292096,0.242253,2479.3,-nan,4275,-nan,-nan,6672
(M._australis_II; M._rubrostriatus_III),2.91104,2.79615,17398.1,4.88688,1.02259,3.86429,0.192828,6664
(M._australis_II; M._rubrostriatus_II_MT),2.27217,2.26747,11939.7,600.633,596.89,3.74248,2.42987,6672
(M._australis_II; M._rubrostriatus_II_S7),0.296615,0.247619,2507.87,-nan,4267,-nan,-nan,6664
(M._australis_II; M._rubrostriatus_I),2.9644,2.84674,18040.3,6.20075,1.21074,4.99001,0.672876,6672
(M._australis_II; M._s._splendida_MT),2.28016,2.2785,12050.5,619.862,613.685,6.17706,2.88128,6672
(M._australis_II; M._s._splendida_S7),0.299404,0.251877,2511.5,4268,4265,3,-nan,6672
(M._australis_II; M._s._tatei_MT),2.26049,2.25873,11858.2,612.124,605.207,6.91765,2.96312,6672
(M._australis_II; M._s._tatei_S7),0.297697,0.249367,2512.2,-nan,4265,-nan,-nan,6664
(M._australis_II; M._parkinsoni_I_AS_MT),2.26714,2.26446,11918.7,605.961,604.649,1.31247,1.79015,6672
(M._australis_II; M._parkinsoni_I_AS_S7),0.294098,0.244617,2466.61,4261.01,4258.02,2.98849,-nan,6664
(M._australis_II; M._parkinsoni_II_AS),2.89504,2.78402,17250.8,4.3686,1.94363,2.42497,1.04707,6664
