Sequences,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1949|Avian|A/chicken/Germany/N/1949|Germany|H10N7),2.47288,2.4656,2917.46,10.4148,7.90751,2.5073,1.19032,1416
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1976|Avian|A/chicken/Victoria/1976|Australia|H7N7),2.32288,2.30968,2598.81,8.53619,2.36978,6.16641,1.17816,1416
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1976|Avian|A/duck/Victoria/1976|Australia|H7N7),2.33392,2.31746,2579.86,8.46829,2.181,6.28729,1.16824,1397
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1977|Avian|A/pintail_duck/ALB/303/1977|Canada|H10N7),2.0028,1.99489,1920.16,3.62597,1.9245,1.70147,-0.491221,1413
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1979|Avian|A/goose/Leipzig/187-7/1979|Germany|H7N7),2.42292,2.4031,2564.57,10.4967,4.76241,5.73433,1.63256,1308
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1979|Avian|A/mallard_duck/Minnesota/19/1979|USA|H10N7),2.01736,2.00908,1944.91,4.09513,1.22465,2.87048,-0.407308,1413
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1980|Avian|A/duck/Potsdam/15/1980|Germany|H7N7),2.3659,2.3579,2652.66,9.66903,5.0682,4.60083,1.66609,1398
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1984|Avian|A/redhead_duck/ALB/767/1984|Canada|H10N7),2.02098,2.01254,1952.05,3.50619,1.37423,2.13196,0.441141,1413
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1985|Avian|A/chicken/Victoria/1985|Australia|H7N7),2.37716,2.36741,2702.78,7.80957,5.49079,2.31878,1.20488,1416
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1985|Avian|A/starling/Victoria/1985|Australia|H7N7),2.37716,2.36741,2702.78,7.80957,5.49079,2.31878,1.20488,1416
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1986|Avian|A/herring_gull/Delaware/471/1986|USA|H2N7),2.03136,2.02457,1967.29,4.54765,1.8722,2.67546,0.738701,1413
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1986|Avian|A/laughing_gull/New_Jersey/798/1986|USA|H2N7),2.03552,2.02917,1975.51,3.72142,2.20185,1.51957,0.519476,1413
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1987|Avian|A/ruddy_turnstone/DE/2764/1987|USA|H10N7),2.01064,2.00226,1934.21,4.89668,1.3964,3.50028,-0.355227,1413
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1988|Avian|A/green-winged_teal/LA/169GW/1988|USA|H10N7),1.99485,1.98704,1910.91,4.13985,1.51269,2.62716,-0.564742,1413
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1988|Avian|A/ruddy_turnstone/DE/2378/1988|USA|H7N7),2.01386,2.00709,1945.77,5.4104,2.19567,3.21473,-0.60611,1413
(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1989|Avian|A/mallard/Ohio/122/1989|USA|H10N7),1.99339,1.98536,1906.27,4.85742,1.59262,3.2648,-0.522386,1413
