"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test"
"(AF337128_Lampropeltis_alterna;AF471040_Lycodon_zawi)","AF337128_Lampropeltis_alterna","AF471040_Lycodon_zawi",1.08150429945472e-08,48.1924,6.75917415803088e-10,45.6416,0.466192755941359,2.55073,0.870242868232198,-0.16335,0,1.67491,0,2.31045,0,5012.29
"(AF337128_Lampropeltis_alterna;AF471062_Dipsadoboa_unicolor)","AF337128_Lampropeltis_alterna","AF471062_Dipsadoboa_unicolor",0.00139904952411563,21.6533,0.000947792803939255,16.3797,0.152829240379426,5.27353,0.205889252051682,-1.26495,0,1.67577,0,2.34578,0,5099.65
"(AF337128_Lampropeltis_alterna;AF471065_Dasypeltis_atra)","AF337128_Lampropeltis_alterna","AF471065_Dasypeltis_atra",0.0355687952407932,13.5135,0.0227068361688743,9.55949,0.266477628062571,3.95397,0.097479046559827,1.6572,0,1.69849,0,2.39859,0,5300.3
"(AF337128_Lampropeltis_alterna;Ahaetulla_prasina_RMB3042)","AF337128_Lampropeltis_alterna","Ahaetulla_prasina_RMB3042",4.36462777712704e-154,728.465,1.35113472314851e-155,719.329,0.0275377898977377,9.13588,0.280449556495622,-1.07931,1.6018756263536e-191,1.06459,1.7516862486083e-210,1.11668,0,1538.62
"(AF337128_Lampropeltis_alterna;Boiga_cynodon_CDS4400)","AF337128_Lampropeltis_alterna","Boiga_cynodon_CDS4400",1.65619736659018e-159,753.564,4.40991500522271e-162,749.24,0.228557660576301,4.32378,0.927166657255053,0.0914102,7.13690594190537e-201,1.08988,9.33686411158209e-221,1.14317,0,1610.67
"(AF337128_Lampropeltis_alterna;Boiga_dendrophila_CDS1575)","AF337128_Lampropeltis_alterna","Boiga_dendrophila_CDS1575",1.24477431857775e-75,364.406,1.69075503415215e-77,358.985,0.14346117662165,5.42067,0.960029551161869,0.0501165,0,1.44558,0,1.676,0,2497.99
"(AF337128_Lampropeltis_alterna;Ptyas_luzonensis_RMB4445)","AF337128_Lampropeltis_alterna","Ptyas_luzonensis_RMB4445",1.29750525181776e-68,331.713,8.1602328434459e-66,305.018,6.81904395157562e-06,26.6956,0.194658714219984,-1.29692,0,1.41934,0,1.64245,0,2409.07
"(AF337128_Lampropeltis_alterna;FJ627818_Pituophis_deppei)","AF337128_Lampropeltis_alterna","FJ627818_Pituophis_deppei",2.79134450178807e-13,70.8081,4.44948410043443e-15,69.9157,0.827278592497291,0.892329,0.48273092648794,-0.701917,0,1.6497,0,2.43194,0,5409.74
"(AF337128_Lampropeltis_alterna;FJ627819_Pituophis_catenifer)","AF337128_Lampropeltis_alterna","FJ627819_Pituophis_catenifer",0.000984558603876181,22.4949,6.19295213280241e-05,22.1084,0.94302389202012,0.386466,0.513058977523195,-0.654082,0,1.71919,0,2.47448,0,5612.9
"(AF337128_Lampropeltis_alterna;Gonyosoma_oxycephala_RMB11702)","AF337128_Lampropeltis_alterna","Gonyosoma_oxycephala_RMB11702",1.7141343509552e-55,270.478,2.05207346940294e-53,247.705,4.50324457174721e-05,22.7729,0.00813415291542285,-2.64645,4.05431589778359e-44,0.502354,4.25627500255531e-59,0.585057,7.99331556092772e-117,569.324
"(AF337128_Lampropeltis_alterna;Lycodon_alcalai_RMB9036)","AF337128_Lampropeltis_alterna","Lycodon_alcalai_RMB9036",1.13963213682909e-157,745.056,1.43564788869066e-158,733.042,0.00733569633711087,12.0139,0.0901874006038998,-1.69441,7.4319940095162e-215,1.13007,1.35869832176548e-237,1.18901,0,1687.45
"(AF337128_Lampropeltis_alterna;Lycodon_alcalai_RMB9542)","AF337128_Lampropeltis_alterna","Lycodon_alcalai_RMB9542",2.15627629203262e-165,780.809,2.44511100866819e-166,768.866,0.00758063934609835,11.9431,0.0922280604877392,-1.68376,1.06862323454485e-202,1.09726,7.16977176823605e-219,1.1407,0,1623.78
"(AF337128_Lampropeltis_alterna;Lycodon_aulicus_205000)","AF337128_Lampropeltis_alterna","Lycodon_aulicus_205000",1.17627770784046e-185,874.577,4.29298600002598e-182,841.513,3.12255258507057e-07,33.0637,0.799956036959554,0.253404,1.2480566740063e-182,1.04017,4.52752592456561e-188,1.05575,4.94065645841247e-324,1530.55
"(AF337128_Lampropeltis_alterna;Lycodon_aulicus_CDS4621)","AF337128_Lampropeltis_alterna","Lycodon_aulicus_CDS4621",7.12815585940303e-103,491.048,1.17151584478727e-99,461.282,1.5455812406565e-06,29.7661,0.618463602154435,0.498029,0,1.41119,0,1.57922,0,2372
"(AF337128_Lampropeltis_alterna;Lycodon_aulicus_CDS658)","AF337128_Lampropeltis_alterna","Lycodon_aulicus_CDS658",2.87759583453692e-189,891.284,5.53766457917796e-185,854.835,6.01581581370781e-08,36.4497,0.653271518683825,0.449222,2.07627651218953e-184,1.04529,1.3641550732319e-188,1.05723,0,1543.71
"(AF337128_Lampropeltis_alterna;Lycodon_aulicus_RMB4347)","AF337128_Lampropeltis_alterna","Lycodon_aulicus_RMB4347",2.87759583453692e-189,891.284,5.53766457917796e-185,854.835,6.01581581370781e-08,36.4497,0.653271518683825,0.449222,2.07627651218953e-184,1.04529,1.3641550732319e-188,1.05723,0,1543.71
"(AF337128_Lampropeltis_alterna;Lycodon_aulicus_RMB8785)","AF337128_Lampropeltis_alterna","Lycodon_aulicus_RMB8785",5.20058304827585e-187,880.843,7.7144932535263e-183,844.95,7.88800310439667e-08,35.8932,0.894839547162329,0.132183,4.24343496668241e-188,1.05583,5.69376862148333e-193,1.06959,0,1564.9
"(AF337128_Lampropeltis_alterna;Lycodon_bibonius_RMB5709)","AF337128_Lampropeltis_alterna","Lycodon_bibonius_RMB5709",1.71468348352101e-167,790.527,7.09491039294373e-169,780.566,0.0189039495850551,9.96061,0.0396247039143158,-2.05764,1.45274532307017e-198,1.08588,1.62501531507485e-212,1.12383,0,1605.3
"(AF337128_Lampropeltis_alterna;Lycodon_butleri_8066)","AF337128_Lampropeltis_alterna","Lycodon_butleri_8066",5.75943924886919e-168,792.72,7.9825390769829e-171,789.552,0.366422171474955,3.16813,0.847821320770624,0.191899,5.18140496410193e-197,1.08134,1.16672664720612e-212,1.12397,0,1586.85
"(AF337128_Lampropeltis_alterna;Lycodon_butleri_9136)","AF337128_Lampropeltis_alterna","Lycodon_butleri_9136",4.29722753995754e-174,821.077,5.08347615923845e-177,818.121,0.398471496034699,2.95592,0.871799630826154,-0.161373,2.10946584693892e-189,1.05999,1.73687355448424e-200,1.09095,0,1548.36
"(AF337128_Lampropeltis_alterna;Lycodon_butleri_9421)","AF337128_Lampropeltis_alterna","Lycodon_butleri_9421",3.86598598850429e-171,807.406,4.86122453870652e-174,804.378,0.387317549706809,3.02807,0.95551778480163,-0.0557791,9.99227572620826e-186,1.04998,9.18388435232283e-197,1.08112,8.49792910846944e-322,1520.12
"(AF337128_Lampropeltis_alterna;Lycodon_capucinus_5725)","AF337128_Lampropeltis_alterna","Lycodon_capucinus_5725",4.83451125163979e-179,843.977,2.34345503855356e-175,810.45,2.49285368907494e-07,33.5273,0.809269911951882,-0.241368,7.1639640069499e-177,1.02342,3.03550933904233e-183,1.04194,5.90057528602061e-314,1483.84
"(AF337128_Lampropeltis_alterna;Lycodon_capucinus_9277)","AF337128_Lampropeltis_alterna","Lycodon_capucinus_9277",2.26223827151675e-185,873.263,2.89107539440351e-181,837.694,9.23405075650685e-08,35.5695,0.9151769283177,0.106511,4.1705524170365e-189,1.05869,4.97893238004433e-195,1.07535,0,1567.72
"(AF337128_Lampropeltis_alterna;Lycodon_capucinus_DSM1325L)","AF337128_Lampropeltis_alterna","Lycodon_capucinus_DSM1325L",6.68370230329078e-188,884.965,3.12352529904634e-184,851.371,2.4132363626296e-07,33.5941,0.968882096925491,0.0390104,2.66354530269482e-187,1.05356,2.83965827271985e-192,1.06763,0,1564.12
"(AF337128_Lampropeltis_alterna;Lycodon_capucinus_RMB9060)","AF337128_Lampropeltis_alterna","Lycodon_capucinus_RMB9060",2.87759583453692e-189,891.284,5.53766457917796e-185,854.835,6.01581581370781e-08,36.4497,0.653271518683825,0.449222,2.07627651218953e-184,1.04529,1.3641550732319e-188,1.05723,0,1543.71
"(AF337128_Lampropeltis_alterna;Lycodon_chrysoprateros_RMB6394)","AF337128_Lampropeltis_alterna","Lycodon_chrysoprateros_RMB6394",1.75303445287981e-168,795.111,2.16927184894905e-169,782.939,0.00681912950345552,12.1712,0.049319406689744,-1.96582,1.16043262187157e-198,1.08615,2.47765315214159e-212,1.12334,0,1606.31
"(AF337128_Lampropeltis_alterna;Lycodon_dumereli_ACD4146)","AF337128_Lampropeltis_alterna","Lycodon_dumereli_ACD4146",1.02123389955061e-151,717.494,5.7754663082243e-154,711.808,0.127949626425573,5.6856,0.114416359299005,-1.57865,1.18434313698846e-185,1.04954,4.69905135755748e-204,1.10097,9.8546333719495e-320,1510.57
"(AF337128_Lampropeltis_alterna;Lycodon_dumereli_CDS1927)","AF337128_Lampropeltis_alterna","Lycodon_dumereli_CDS1927",1.21379555153271e-68,331.848,4.8498038147343e-70,324.541,0.0627351730635408,7.30683,0.118684279393817,-1.56032,0,1.41409,0,1.64023,0,2388.28
"(AF337128_Lampropeltis_alterna;Lycodon_dumereli_RMB4393)","AF337128_Lampropeltis_alterna","Lycodon_dumereli_RMB4393",1.67655033284307e-151,716.497,9.49647657184658e-154,710.812,0.127979557888374,5.68506,0.114276432673504,-1.57926,5.69527140649922e-186,1.05045,1.37027763424707e-204,1.10243,4.46684750405071e-320,1512.16
"(AF337128_Lampropeltis_alterna;Lycodon_effraensis_DSM927L)","AF337128_Lampropeltis_alterna","Lycodon_effraensis_DSM927L",2.83764542269901e-212,997.681,2.49240251893059e-215,994.738,0.40047677864841,2.94313,0.823181402452164,0.223455,1.1643754599301e-141,0.850389,1.24731638754262e-165,0.920637,5.86773982505709e-311,1469.97
"(AF337128_Lampropeltis_alterna;Lycodon_fasciatus_234875)","AF337128_Lampropeltis_alterna","Lycodon_fasciatus_234875",0.000258633096988316,25.6503,0.000263933658697268,19.074,0.0867026490426903,6.57627,0.996061897162694,-0.0049357,0,1.72833,0,2.44972,0,5532.55
"(AF337128_Lampropeltis_alterna;Lycodon_fasciatus_234957)","AF337128_Lampropeltis_alterna","Lycodon_fasciatus_234957",0.00128040939161274,21.8661,0.00116249214794781,15.9474,0.115634851969329,5.91867,0.981321792547768,0.0234118,0,1.7261,0,2.45328,0,5541.76
"(AF337128_Lampropeltis_alterna;Lycodon_jara_235387)","AF337128_Lampropeltis_alterna","Lycodon_jara_235387",4.58654254175611e-67,324.495,1.04905169539148e-67,313.754,0.013210262309074,10.7413,0.810892349547768,0.239275,0,1.31343,0,1.60231,0,2665.92
"(AF337128_Lampropeltis_alterna;Lycodon_laoensis_258659)","AF337128_Lampropeltis_alterna","Lycodon_laoensis_258659",2.95062573043651e-72,348.689,1.14363609321549e-73,341.296,0.0603821143677346,7.39264,0.913976654359067,-0.108024,0,1.37532,0,1.70075,0,2940.09
