Sequences compared,Sat_test_Cassius_1,Sat_test_Cassius_2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1934|Avian|A/chicken/Rostock/45/1934_Germany|H7N1'),2.76194,2.76128,4312.43,#NAME?,2.82101,#NAME?,#NAME?,1692
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1945|Avian|A/fowl/Egypt/45_Egypt|H7N1'),2.53339,2.53675,3604.82,4.22925,2.54621,1.68304,0.257241,1660
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1976|Avian|A/chicken/Victoria/1976_Australia|H7N1'),2.39252,2.39724,3298.12,8.92685,4.66397,4.26289,0.688596,1692
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1963|Avian|A/turkey/England/1963_United_Kingdom|H7N3'),2.49128,2.49044,3538.14,#NAME?,5.07567,#NAME?,#NAME?,1689
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1971|Avian|A/turkey/Oregon/1971_USA|H7N3'),2.03023,2.03046,2342.98,1.33333,0.280543,1.05279,0.892686,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1972|Avian|A/duck/Hongkong/301/72_Hong_Kong|H7N1'),2.43173,2.43028,3358.42,8.7733,5.58051,3.19278,0.26043,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1973|Avian|A/parrot/Northern_Ireland/VF-73-67/73_United_Kingdom|H7N1'),2.42296,2.41805,3331.14,11.9555,4.51138,7.44408,0.591463,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1976|Avian|A/duck/Alberta/49/1976_Canada|H7N?'),2.06602,2.06177,2407.37,1.47943,0.53151,0.947918,0.0434667,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1976|Avian|A/duck/Victoria/1976_Australia|H7N7'),2.40516,2.40823,3304.5,7.85061,4.80495,3.04566,0.978812,1683
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1977|Avian|A/blue-winged_teal/ALB/295/1977_Canada|H7N3'),2.07589,2.07231,2433.82,0.902928,0.242805,0.660123,0.437716,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1977|Avian|A/mallard_duck/ALB/224/1977_Canada|H7N5'),2.05605,2.05142,2385.48,1.56212,0.582055,0.980066,0.4879,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1977|Avian|A/turkey/England/647/77_United_Kingdom|H7N7'),2.41778,2.41827,3326.32,12.9984,4.20347,8.79497,-0.176723,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1977|Avian|A/widgeon/Alberta/284/1977_Canada|H7N3'),2.07589,2.07231,2433.82,0.902928,0.242805,0.660123,0.437716,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1978|Avian|A/duck/Hong_Kong/293/1978_Hong_Kong|H7N2'),2.4275,2.42554,3347.41,8.7966,5.13642,3.66018,0.182562,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1978|Avian|A/duck/Hong_Kong/301/1978_Hong_Kong|H7N2'),2.43173,2.42974,3358.35,8.8208,5.15624,3.66457,0.183749,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1979|Avian|A/African_starling/England-Q/983/1979_United_Kingdom|H7N1'),2.39913,2.39708,3274.89,12.9269,4.33644,8.59049,0.50526,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1979|Avian|A/chicken/Germany/01/1979_Germany|H7N7'),2.39204,2.39652,3301.82,#NAME?,3.36859,#NAME?,#NAME?,1692
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1979|Avian|A/pintail/Alberta/21/1979_Canada|H7N?'),2.06024,2.05446,2393.85,1.98773,1.08021,0.907524,0.707675,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1979|Avian|A/turkey/England/192-328/79_United_Kingdom|H7N3'),2.4128,2.41385,3317.14,12.3539,4.94783,7.40608,-0.216151,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1979|Avian|A/turkey/Israel/Ramon/79_Israel|H7N2'),2.40844,2.40759,3300.13,12.1799,4.49817,7.6817,0.581838,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1979|Avian|A/turkey/Tennessee/1/1979_USA|H7N3'),2.05644,2.0522,2386.23,1.67376,0.242942,1.43081,0.75876,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1980|Avian|A/duck/Potsdam/15/1980_Germany|H7N7'),2.42422,2.42524,3342.47,13.95,5.81234,8.13767,0.040972,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1980|Avian|A/macaw/England/626/80_United_Kingdom|H7N7'),2.4248,2.42138,3336.46,10.0398,2.98299,7.05684,-0.729849,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1980|Avian|A/pheasant/Minnesota/917/1980_USA|H7N3'),2.06822,2.06113,2406.7,3.36875,1.77783,1.59092,0.702755,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1980|Avian|A/turkey/Minnesota/1138/1980_USA|H7N3'),2.05305,2.04788,2380.03,2.244,0.949897,1.29411,0.692328,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1980|Avian|A/turkey/Minnesota/1200/1980_USA|H7N3'),2.06849,2.0631,2410.31,2.8109,1.32797,1.48293,0.525611,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1982|Avian|A/chicken/England/71/82_United_Kingdom|H7N1'),2.42972,2.42697,3320.59,10.3936,4.35158,6.04198,-1.36896,1668
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1982|Avian|A/turkey/MN/24552/1982_USA|H7N3'),2.06747,2.0615,2405.69,3.21199,1.42075,1.79124,0.539222,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1985|Avian|A/chicken/Victoria/1/1985_Australia|H7N7'),2.36909,2.37108,3236.24,6.43044,2.562,3.86844,0.403481,1692
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1985|Avian|A/duck/Hubei/126/1985_China|H7N8'),2.43668,2.43318,3366.66,8.84677,4.88299,3.96377,0.474763,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1985|Avian|A/green-winged_teal/ALB/228/1985_Canada|H7N3'),2.05998,2.05404,2388.1,2.43449,1.54416,0.890331,0.451156,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1985|Avian|A/mallard_duck/Alberta/435/1985_Canada|H7N3'),2.07586,2.07086,2424.95,2.78672,0.897648,1.88907,0.909928,1680
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1985|Avian|A/starling/Victoria/1985_Australia|H7N7'),2.37229,2.37408,3243.14,6.33937,2.36702,3.97235,0.397756,1692
('1935|Avian|A/chicken/Brescia/1902_Italy|H7N7'; '1986|Avian|A/duck/Heinersdorf/S495/6/86_Germany|H7N7'),2.39838,2.39821,3274.02,11.0395,3.09094,7.94857,0.0639575,1680
