Sequences,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1934_Avian_A_chicken_Rostock_45_1934_Germany_H7N1),2.76062,2.76128,4312.43,-nan,2.82101,-nan,-nan,1692
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1945_Avian_A_fowl_Egypt_45_Egypt_H7N1),2.53224,2.53858,3604.82,4.22925,2.54621,1.68304,0.257241,1660
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1976_Avian_A_chicken_Victoria_1976_Australia_H7N1),2.3914,2.39724,3298.12,8.92685,4.66397,4.26289,0.688596,1692
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1963_Avian_A_turkey_England_1963_United_Kingdom_H7N3),2.48996,2.48971,3538.14,-nan,5.07567,-nan,-nan,1689
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1971_Avian_A_turkey_Oregon_1971_USA_H7N3),2.02924,2.0286,2342.98,1.33333,0.280543,1.05279,0.892686,1680
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1972_Avian_A_duck_Hongkong_301_72_Hong_Kong_H7N1),2.43041,2.42779,3358.42,8.7733,5.58051,3.19278,0.26043,1680
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1973_Avian_A_parrot_Northern_Ireland_VF-73-67_73_United_Kingdom_H7N1),2.42161,2.41561,3331.14,11.9555,4.51138,7.44408,0.591463,1680
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1976_Avian_A_duck_Alberta_49_1976_Canada_H7N_),2.06489,2.05999,2407.37,1.47943,0.53151,0.947918,0.0434667,1680
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1976_Avian_A_duck_Victoria_1976_Australia_H7N7),2.40403,2.40662,3304.5,7.85061,4.80495,3.04566,0.978812,1683
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1977_Avian_A_blue-winged_teal_ALB_295_1977_Canada_H7N3),2.0748,2.07054,2433.82,0.902928,0.242805,0.660123,0.437716,1680
(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1977_Avian_A_mallard_duck_ALB_224_1977_Canada_H7N5),2.05494,2.04964,2385.48,1.56212,0.582055,0.980066,0.4879,1680
