"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test"
"(M._australis_II;M._australis_I)","M._australis_II","M._australis_I",0.200470437399519,8.55065,0.0693231125701557,7.08221,0.689573280056969,1.46844,0.702026752296834,0.382586,0,3.066,0,2.94074,0,19236.9
"(M._australis_II;M._duboulayi_I)","M._australis_II","M._duboulayi_I",0.0936117921901459,10.835,0.636367021131634,1.70255,0.0275807514460651,9.13245,0.876972684160449,-0.154808,0,2.93145,0,2.815,0,17637.5
"(M._australis_II;M._duboulayi_II)","M._australis_II","M._duboulayi_II",6.54437849443551e-112,532.992,8.46038712677619e-115,531.151,0.606144336872909,1.84058,0.26913359144214,-1.10506,0,2.5383,0,2.47474,0,13980.2
"(M._australis_II;M._eachamensis)","M._australis_II","M._eachamensis",0.166173489331425,9.13414,0.155593510354337,5.23174,0.272198981438366,3.90239,0.198453531818293,1.28597,0,2.97465,0,2.85027,0,18089.4
"(M._australis_II;M._fluviatilis)","M._australis_II","M._fluviatilis",0.330129125557504,6.90069,0.594785559765305,1.89358,0.171277254887422,5.00711,0.377074203809929,-0.8833,0,2.92683,0,2.81197,0,17606.4
"(M._australis_II;M._utcheensis)","M._australis_II","M._utcheensis",0.344567656669739,6.7502,0.339838255886934,3.35663,0.334830321852596,3.39357,0.874026576248608,0.158546,0,2.9337,0,2.81564,0,17655.9
"(M._australis_II;M._trifasciata_I_MT)","M._australis_II","M._trifasciata_I_MT",1.65872866583044e-133,633.132,3.2419778873352e-136,629.948,0.364092079638152,3.18417,0.996557936681175,-0.004314,0,2.41316,0,2.39315,0,13337.3
"(M._australis_II;M._trifasciata_I_S7)","M._australis_II","M._trifasciata_I_S7",0,4250.8,0,4250.18,0.892823476624793,0.615724,0.775045095347983,-0.285782,1.55374469310782e-39,0.278,5.24093025475143e-26,0.222362,0,2301.71
"(M._australis_II;M._s._inornata_S7)","M._australis_II","M._s._inornata_S7",6.95757389361201e-128,607.071,1.08837424782126e-129,599.846,0.0650492997310829,7.22543,0.00214956390891285,3.06875,0,2.27491,0,2.2623,0,11985.1
"(M._australis_II;M._rubrostriatus_III)","M._australis_II","M._rubrostriatus_III",0.558401485175727,4.88688,0.795786068085554,1.02259,0.276496165262621,3.86429,0.847093674168659,0.192828,0,2.91104,0,2.79614,0,17398.1
