"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test"
"(BJS001;BJS003)","BJS001","BJS003",9.67247157011461e-90,430.042,1.37052354448274e-92,428.659,0.709432784855269,1.38339,0.647230502108117,-0.457613,0,2.15584,0,2.1235,0,6008.46
"(BJS001;BJS007)","BJS001","BJS007",9.59778943268912e-242,1133.91,7.23419888666822e-245,1130.89,0.388778561181905,3.01852,0.499512498174169,-0.675257,0,1.36903,0,1.47374,0,3673.57
"(BJS001;BJS008)","BJS001","BJS008",0.00141244128802347,21.6304,0.00915828773638117,11.535,0.0177723666962762,10.0954,0.347627555708287,-0.939201,0,2.58474,0,2.42095,0,7409.5
"(BJS001;BJS010)","BJS001","BJS010",0.359594185991622,6.59833,0.452344745974951,2.62948,0.264847472410314,3.96885,0.459729098980767,-0.739293,0,2.58664,0,2.4041,0,7311.71
"(BJS001;BJS011)","BJS001","BJS011",0.366020576111325,6.53475,0.167858924022536,5.05437,0.686803647442866,1.48039,0.809266037064109,-0.241373,0,2.54992,0,2.379,0,7164.54
"(BJS001;BJS012)","BJS001","BJS012",8.67676843578163e-12,63.5127,1.90700032203295e-13,62.2877,0.747007555082597,1.22503,0.536468556237348,-0.618162,0,3.01384,0,2.79099,0,9822.46
"(BJS001;BJS013)","BJS001","BJS013",1.10674645976558e-35,177.582,5.94632406647013e-38,176.162,0.700928183288724,1.41968,0.749185904063208,-0.319713,0,2.51156,0,2.40438,0,7439.94
"(BJS001;BJS014)","BJS001","BJS014",1.85832949166972e-191,901.414,5.88412717208288e-193,891.597,0.0201905472696083,9.81667,0.981911910856094,-0.022672,0,1.68343,0,1.75266,0,4603.42
"(BJS001;BJS015)","BJS001","BJS015",1.78572443962175e-271,1271.28,3.52372115617648e-275,1270.6,0.877803626993121,0.680402,0.724168658851068,-0.352893,0,1.48986,0,1.61625,0,4521.68
"(BJS001;BJS017)","BJS001","BJS017",0.0567848310943294,12.2419,0.0855609932633997,6.60636,0.130752304095657,5.63555,0.14727057047867,-1.44924,0,2.85193,0,2.66436,0,8946.32
"(BJS001;BJS018)","BJS001","BJS018",9.15968832703546e-05,28.0588,4.12785038322216e-05,22.9543,0.164305938527663,5.10446,0.765203295546137,-0.298655,0,2.69481,0,2.49539,0,7872.11
"(BJS001;BJS019)","BJS001","BJS019",0.0202248502444602,15.0041,0.00286809292569183,14.0274,0.806883084405406,0.976727,0.63057904371139,-0.480912,0,2.53538,0,2.36741,0,7104.26
"(BJS001;BJS020)","BJS001","BJS020",0.0501314944527879,12.5844,0.349661682370656,3.28553,0.0255704091967929,9.29885,0.97411390694587,-0.0324491,0,2.5,0,2.33394,0,6880.91
"(BJS001;BJS021)","BJS001","BJS021",0.14857805454299,9.47491,0.161048286407972,5.15129,0.22857293899119,4.32362,0.335338800045573,-0.963416,0,2.54651,0,2.35865,0,7044.56
"(BJS001;BJS022)","BJS001","BJS022",0.173475741263417,9.00182,0.0738326755261641,6.94007,0.559689671407411,2.06175,0.596394148744652,-0.529593,0,2.86749,0,2.68244,0,9074.13
"(BJS001;BJS023)","BJS001","BJS023",4.59733763258408e-51,249.768,2.28284398502438e-53,247.491,0.517037826231471,2.2765,0.912991513161856,0.109266,0,2.16864,0,2.10146,0,5802.67
"(BJS001;BJS024)","BJS001","BJS024",0.067493836624161,11.762,0.42693210879484,2.77922,0.0295203121778115,8.98281,0.756779215989728,-0.309713,0,2.60595,0,2.42476,0,7434.3
"(BJS001;BJS025)","BJS001","BJS025",0.0371182737865215,13.3991,0.00636126423025278,12.3208,0.782302881943495,1.07835,0.654052161534614,-0.44814,0,2.57002,0,2.37765,0,7149.12
"(BJS001;BJS026)","BJS001","BJS026",5.21292410784782e-05,29.3542,1.73022020193286e-05,24.7635,0.204340474928224,4.59071,0.68697617954415,0.402962,0,2.59221,0,2.39284,0,7106.22
"(BJS001;BJS027)","BJS001","BJS027",9.97613613130674e-182,856.402,3.03586278776345e-184,851.428,0.173760501996131,4.97333,0.778610691989658,-0.28113,0,1.3743,0,1.45322,0,3417.42
"(BJS001;BJS029)","BJS001","BJS029",8.96265472282663e-24,121.236,7.23859407526589e-26,120.129,0.77560655387863,1.10608,0.338571797667727,0.956991,0,2.44984,0,2.33562,0,6959.39
"(BJS001;BJS030)","BJS001","BJS030",0.0557749449687029,12.2914,0.0211796733092744,9.71201,0.461105386663493,2.57944,0.971290890791525,0.0359893,0,2.6525,0,2.48317,0,7779.37
"(BJS001;BJS034)","BJS001","BJS034",6.21758320015759e-57,277.209,1.32790100961271e-59,276.315,0.826941117390896,0.893728,0.478042787630756,-0.709454,0,2.14629,0,2.08811,0,5733.67
"(BJS001;BJS035)","BJS001","BJS035",1.30648632859052e-15,82.1138,1.00029728688854e-16,77.6075,0.211728139864315,4.50631,0.537599541570779,0.616447,0,2.43624,0,2.31554,0,6815.19
"(BJS001;BJS036)","BJS001","BJS036",1.00822168806059e-45,224.753,9.08982736114641e-47,216.966,0.0506360103616044,7.78652,0.068360964355993,-1.82262,0,2.1142,0,2.04669,0,5496.51
"(BJS001;BJS037)","BJS001","BJS037",1.2553602960877e-06,37.7531,8.42745007955472e-08,35.7573,0.57326434382818,1.99587,0.648561851705334,-0.455761,0,2.38338,0,2.23763,0,6385.18
"(BJS001;BJS040)","BJS001","BJS040",3.36457242262816e-84,404.277,4.22891692774021e-87,403.319,0.811564121623545,0.957376,0.41069624866809,0.822669,0,2.18982,0,2.1486,0,6104.78
"(BJS001;BJS043)","BJS001","BJS043",0.0555306365420776,12.3035,0.0917089622166619,6.44867,0.118893259459359,5.85478,0.740639198096493,-0.331007,0,2.78149,0,2.59337,0,8472.02
"(BJS001;BJS044)","BJS001","BJS044",1.75169734802169e-55,270.434,5.1687563633674e-58,268.965,0.689538481876371,1.46859,0.432467053884193,0.784977,0,2.38682,0,2.30849,0,6899.08
"(BJS001;BJS045)","BJS001","BJS045",0.000422256665651045,24.501,4.32121244392182e-05,22.8589,0.649884293713371,1.64209,0.53744713500905,-0.616678,0,2.68259,0,2.5144,0,8001.08
"(BJS001;BJS046)","BJS001","BJS046",8.09469775373851e-219,1027.94,5.21074063914007e-221,1020.92,0.0711477745928056,7.02365,0.579674661941692,0.55386,0,1.62451,0,1.71454,0,4581.38
"(BJS001;BJS048)","BJS001","BJS048",1.8535594356248e-15,81.3792,5.0959244000445e-17,78.9734,0.49255215107596,2.40582,0.754739589909812,-0.312396,0,2.40512,0,2.28356,0,6679.66
"(BJS001;BJS085)","BJS001","BJS085",0.0115542080567775,16.4451,0.00488199255294602,12.8894,0.313603189933811,3.55575,0.322654824240158,-0.989017,0,2.65315,0,2.47848,0,7781.45
"(BJS001;BJS086)","BJS001","BJS086",2.22609891792366e-54,265.273,9.077661768556e-57,263.212,0.559855193148821,2.06094,0.564148888938017,0.57669,0,2.11912,0,2.05998,0,5594.64
"(BJS001;BJS087)","BJS001","BJS087",0.000122136513890988,27.3943,7.05353697460246e-05,21.8368,0.135243150186131,5.55744,0.53135888832201,0.625933,0,2.64111,0,2.45471,0,7630.16
"(BJS001;BJS089)","BJS001","BJS089",1.35746616107898e-52,256.925,3.58598597255461e-55,255.831,0.778599971782176,1.09368,0.584652194753964,0.546602,0,2.24037,0,2.17155,0,6138.16
"(BJS001;BJS093)","BJS001","BJS093",6.7404766791858e-05,28.7646,8.52196740913679e-05,21.4418,0.0622928373061495,7.32272,0.459817132612088,-0.739148,0,2.74795,0,2.54851,0,8208.38
"(BJS001;BJS095)","BJS001","BJS095",5.07933369149208e-08,44.8211,1.72519847251387e-08,39.0124,0.12129593899077,5.80873,0.609812583510734,-0.510341,0,2.99003,0,2.77433,0,9700.79
"(BJS001;BJS098)","BJS001","BJS098",9.40700617205431e-14,73.1077,1.44242579101778e-14,67.5297,0.134046497035778,5.57801,0.327950198126242,-0.978251,0,2.75417,0,2.53718,0,8148.38
"(BJS001;BJS099)","BJS001","BJS099",2.2727350379302e-137,651.034,2.25653508219557e-139,644.511,0.0887481248190217,6.5233,0.888790358967822,-0.139835,0,1.91437,0,1.93677,0,5244.18
"(BJS001;BJS100)","BJS001","BJS100",1.37134142303829e-26,134.613,7.60914461157095e-28,129.312,0.151014167100302,5.30136,0.663967504135366,-0.434442,0,2.23109,0,2.13561,0,5885.11
"(BJS001;BJS101)","BJS001","BJS101",7.4167873292954e-76,365.453,8.4417371270205e-77,355.76,0.0213664208774351,9.69279,0.703933538263641,0.380016,0,2.11157,0,2.07252,0,5698.98
"(BJS001;BJS102)","BJS001","BJS102",6.91624861354441e-51,248.938,1.6270734821781e-53,248.171,0.857206842471346,0.767571,0.619954382657239,-0.495915,0,2.36374,0,2.2804,0,6737.63
"(BJS001;BJS103)","BJS001","BJS103",1.24256646990613e-39,196.165,1.15267284504317e-41,193.351,0.421184062745877,2.8141,0.127981520751494,-1.52211,0,2.39794,0,2.30195,0,6816.21
"(BJS001;BJS104)","BJS001","BJS104",8.5225638940101e-10,53.6891,1.07094230417353e-09,44.7012,0.0294527306563685,8.98786,0.916034612154856,-0.10543,0,2.49562,0,2.35946,0,7040.44
"(BJS001;BJS105)","BJS001","BJS105",1.96866409515975e-26,133.868,7.19781202285951e-28,129.424,0.2173473741057,4.44392,0.981519135667252,0.0231644,0,2.22541,0,2.12961,0,5860.75
"(BJS001;BJS107)","BJS001","BJS107",1.55680681414814e-35,176.884,7.63365903832988e-37,171.028,0.118864839123442,5.85533,0.405344600251287,0.832114,0,2.19849,0,2.11564,0,5813.53
"(BJS001;BJS108)","BJS001","BJS108",1.34454409078927e-56,275.644,5.44902378249491e-58,268.859,0.0790759586227361,6.78499,0.0216627340824578,-2.29623,0,2.21202,0,2.14203,0,6047.05
"(BJS001;BJS110)","BJS001","BJS110",2.41219830504545e-11,61.3325,2.74483724142517e-12,56.866,0.215295235027805,4.46653,0.122741028282653,-1.54337,0,2.74413,0,2.53059,0,8113.58
"(BJS001;BJS111)","BJS001","BJS111",2.48838772308912e-29,147.6,8.76698820345802e-31,142.943,0.198660388064616,4.65755,0.133223702182546,1.50151,0,2.38132,0,2.28043,0,6624.7
"(BJS001;BJS112)","BJS001","BJS112",0.0145895101693698,15.8487,0.00417679297220221,13.2238,0.453137488678793,2.62492,0.577670917010699,-0.55679,0,2.74634,0,2.58186,0,8422.6
"(BJS001;BJS113)","BJS001","BJS113",8.96847890448972e-18,92.5439,9.31006753438025e-19,87.0738,0.140432496993567,5.47019,0.712109090559149,-0.369025,0,2.58238,0,2.44387,0,7545.59
"(BJS001;BJS114)","BJS001","BJS114",8.96342076165081e-102,485.943,1.1509223396827e-104,484.392,0.670520807615787,1.55113,0.719494099558017,-0.359135,0,1.9547,0,1.9479,0,5170.59
"(BJS001;BJS115)","BJS001","BJS115",2.91962274360413e-79,381.302,5.11511928817261e-82,379.853,0.694069168051293,1.44909,0.67081334741931,0.425032,0,1.92892,0,1.90774,0,4935.84
"(BJS001;BJS116)","BJS001","BJS116",4.64202585008772e-46,226.332,1.20345551240016e-48,225.654,0.878522292033073,0.677332,0.520466159117691,0.642627,0,2.07549,0,2.01207,0,5321.57
"(BJS001;BJS117)","BJS001","BJS117",3.98282920063082e-221,1038.61,1.42850982424025e-223,1032.73,0.117272891081458,5.88634,0.937145411223643,-0.0788582,0,1.58487,0,1.67788,0,4449.03
"(BJS001;DM011)","BJS001","DM011",2.660361061863e-09,51.2322,2.87093587837444e-10,47.3902,0.279040768326784,3.84198,0.498016467096891,-0.677614,0,2.40415,0,2.27025,0,6573.81
"(BJS001;DM037)","BJS001","DM037",3.80997383386526e-131,622.189,3.09486893174688e-131,606.978,0.00164524057623346,15.2106,0.332404008860338,-0.969283,0,1.77944,0,1.80266,0,4588.41
"(BJS001;DM054)","BJS001","DM054",4.36164615604322e-70,338.58,2.87927164166738e-70,325.587,0.00465176781817705,12.993,0.0192718674612617,-2.34023,0,2.05215,0,1.9966,0,5258.11
"(BJS001;DM057)","BJS001","DM057",5.43869418782336e-242,1135.05,2.70689533963237e-242,1119.03,0.00112232073311044,16.0219,0.123003137907084,-1.54229,0,1.39339,0,1.48725,0,3720.5
"(BJS001;DM059)","BJS001","DM059",4.76151675613751e-129,612.47,2.45990590265522e-131,607.438,0.169412508036041,5.03278,0.118894640403726,-1.55943,0,1.71505,0,1.73971,0,4366.46
"(BJS001;DM070)","BJS001","DM070",1.88250694080489e-10,56.9357,1.138881081177e-10,49.2769,0.05361676561906,7.65875,0.644016063982973,-0.462091,0,2.46691,0,2.31195,0,6789.08
"(BJS001;DM071)","BJS001","DM071",4.67037292367496e-08,45.0046,4.0735610231721e-09,41.9689,0.386147529181687,3.03574,0.789467621200229,0.267002,0,2.43751,0,2.27095,0,6564.33
"(BJS001;DM072)","BJS001","DM072",3.17683940525587e-62,301.917,2.0919543926325e-62,289.267,0.00545699473385558,12.6504,0.47880243898901,0.70823,0,1.98927,0,1.94585,0,5027.78
"(BJS001;DM073)","BJS001","DM073",9.5570654042172e-07,38.3589,1.01844088924973e-07,35.3682,0.393053544124772,2.99075,0.248824199979454,-1.15321,0,2.27777,0,2.13387,0,5803.71
"(BJS001;DM074)","BJS001","DM074",0.0190261311060255,15.163,0.00408345188044334,13.2722,0.595377875655349,1.8908,0.242009017477914,-1.16998,0,2.45031,0,2.27707,0,6564.36
"(BJS001;DM081)","BJS001","DM081",2.04312370697309e-71,344.774,2.27348946946959e-72,335.299,0.023604621114583,9.47446,0.380703939200173,0.8766,0,2.27081,0,2.21778,0,6411.13
"(BJS001;DM084)","BJS001","DM084",0.462330888293852,5.66002,0.290523218604437,3.74353,0.589919104138718,1.91649,0.348266508544785,-0.937957,0,2.51225,0,2.34376,0,6951.81
"(BJS001;DM086)","BJS001","DM086",3.07290746346824e-10,55.8837,9.78966328508349e-12,54.2778,0.65804371577773,1.60594,0.523892981805236,-0.637356,0,2.2668,0,2.14136,0,5871.14
"(BJS001;DM087)","BJS001","DM087",4.65371286323896e-50,245.063,1.36684396434182e-51,239.273,0.122281058749912,5.7901,0.92742950101821,-0.0910794,0,1.9752,0,1.92375,0,4903.09
"(BJS001;DM089)","BJS001","DM089",1.32733759866351e-09,52.7339,2.79374522106367e-11,52.1418,0.898228675006006,0.592143,0.86656675832628,-0.168021,0,2.20653,0,2.08414,0,5575.77
"(BJS001;DM090)","BJS001","DM090",9.5267302181031e-05,27.9682,0.000482171591663344,17.8065,0.0172404712036028,10.1617,0.403680548738285,-0.835066,0,2.48671,0,2.32542,0,6856.68
"(BJS001;DM094)","BJS001","DM094",1.96840169872569e-87,419.31,1.84357362473994e-86,400.367,0.000280986141570926,18.9425,0.0117218210075845,-2.52041,0,1.91348,0,1.8651,0,4721.02
"(BJS001;DM095)","BJS001","DM095",1.13041706788969e-20,106.445,5.38120919869867e-22,102.142,0.230593142268615,4.30255,0.285272488868891,-1.06855,0,2.26048,0,2.13855,0,5839.01
"(BJS001;DM100)","BJS001","DM100",1.2770161867628e-121,578.03,4.10748913560363e-123,569.507,0.0363537838645626,8.52298,0.340290206819381,-0.953592,0,2.02794,0,2.0363,0,5698.64
"(BJS001;DM103)","BJS001","DM103",1.3637298307344e-162,767.843,9.27442266313193e-165,761.585,0.0997239583975444,6.2577,0.746477141098016,-0.323288,0,1.6996,0,1.74332,0,4451.23
"(BJS001;JS001)","BJS001","JS001",0.00699119158036388,17.7129,0.00173356356233376,15.0995,0.455148687097096,2.61338,0.893034094955615,0.134466,0,2.4459,0,2.28834,0,6636.39
"(BJS001;JS003)","BJS001","JS003",1.56422241667257e-28,143.821,3.32529442657453e-30,140.258,0.312628163874164,3.56343,0.0846302456645862,-1.72443,0,2.14744,0,2.06003,0,5477.64
"(BJS001;JS005)","BJS001","JS005",9.53388121891167e-264,1235.58,1.76083529478957e-265,1225.9,0.0215458298588262,9.67448,0.371059243017595,0.894491,0,1.43113,0,1.54939,0,4116.72
"(BJS001;JS007)","BJS001","JS007",1.20894008417464e-145,689.366,4.64206396493407e-148,684.575,0.187756640393789,4.791,0.699423350420616,0.386099,0,1.79246,0,1.82746,0,4787.18
"(BJS001;JS008)","BJS001","JS008",2.24512828714063e-05,31.276,1.48885930685671e-05,25.0756,0.102258470332294,6.20037,0.875315778626976,-0.15691,0,2.33813,0,2.19584,0,6144.8
"(BJS001;JS010)","BJS001","JS010",1.42036286340791e-65,317.543,3.26987675445707e-66,306.853,0.0135240208848794,10.6903,0.921541465344631,0.0984922,0,2.20652,0,2.15288,0,6072.97
"(BJS001;JS012)","BJS001","JS012",0.00137922352796723,21.6876,0.000152632700362924,20.2226,0.690385473619428,1.46494,0.469449526209419,0.723375,0,2.50288,0,2.3436,0,6970.87
"(BJS001;JS017)","BJS001","JS017",1.46096719702825e-36,181.723,1.13094661230598e-38,179.5,0.527428393604513,2.22302,0.824009517375014,0.222391,0,2.27004,0,2.17486,0,6140.66
"(BJS001;JS020)","BJS001","JS020",2.6731803465529e-64,311.598,1.13053433017658e-66,308.984,0.454925254127139,2.61466,0.964155771310369,-0.0449392,0,2.03691,0,1.99351,0,5288.74
"(BJS001;JS023)","BJS001","JS023",3.93118897347219e-05,29.9998,8.61523631187966e-06,26.2109,0.285185729336092,3.78885,0.578852253449714,0.555062,0,2.56131,0,2.38672,0,7203.19
