Sequences,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(AF337128_Lampropeltis_alterna;AF337134_Lampropeltis_triangulum),2.00291,2.95797,7867.14,-nan,2.8,-nan,-nan,2697
(AF337128_Lampropeltis_alterna;AF471040_Lycodon_zawi),1.67491,2.31045,5012.29,48.1924,45.6416,2.55073,-0.16335,2697
(AF337128_Lampropeltis_alterna;AF471062_Dipsadoboa_unicolor),1.67577,2.34578,5099.65,21.6533,16.3797,5.27353,-1.26495,2697
(AF337128_Lampropeltis_alterna;AF471065_Dasypeltis_atra),1.69849,2.39859,5300.3,13.5135,9.55949,3.95397,1.6572,2697
(AF337128_Lampropeltis_alterna;Ahaetulla_prasina_CDS1130),0.567253,0.661897,587.408,219.348,212.261,7.08768,-nan,2304
(AF337128_Lampropeltis_alterna;Ahaetulla_prasina_RMB3042),1.06459,1.11668,1538.62,728.465,719.329,9.13588,-1.07931,2303
(AF337128_Lampropeltis_alterna;Boiga_cynodon_CDS4400),1.08988,1.14317,1610.67,753.564,749.24,4.32378,0.0914102,2306
(AF337128_Lampropeltis_alterna;Boiga_dendrophila_CDS1575),1.44558,1.676,2497.99,364.406,358.985,5.42067,0.0501165,2304
(AF337128_Lampropeltis_alterna;Ptyas_luzonensis_RMB4445),1.41934,1.64245,2409.07,331.713,305.018,26.6956,-1.29692,2302
(AF337128_Lampropeltis_alterna;FJ627818_Pituophis_deppei),1.6497,2.43194,5409.74,70.8081,69.9157,0.892329,-0.701917,2697
(AF337128_Lampropeltis_alterna;FJ627819_Pituophis_catenifer),1.71919,2.47448,5612.9,22.4949,22.1084,0.386466,-0.654082,2697
(AF337128_Lampropeltis_alterna;GU073440_Pantherophis_bairdi),1.48793,2.19025,4479.13,-nan,148.832,-nan,-nan,2697
(AF337128_Lampropeltis_alterna;GU073446_Pantherophis_obsoletus),1.48134,2.18796,4501.39,-nan,155.794,-nan,-nan,2697
(AF337128_Lampropeltis_alterna;Gonyosoma_oxycephala_RMB11702),0.502354,0.585057,569.324,270.478,247.705,22.7729,-2.64645,2291
(AF337128_Lampropeltis_alterna;JF827672.Dinodon.rufozonatum),1.62852,1.57974,1695.73,-nan,372.712,-nan,-nan,1649
(AF337128_Lampropeltis_alterna;AB008539.Dinodon.semicarinatus),2.67233,2.42003,2219.76,-nan,13.1262,-nan,-nan,1110
(AF337128_Lampropeltis_alterna;Lycodon_alcalai_RMB9036),1.13007,1.18901,1687.45,745.056,733.042,12.0139,-1.69441,2296
(AF337128_Lampropeltis_alterna;Lycodon_alcalai_RMB9542),1.09726,1.1407,1623.78,780.809,768.866,11.9431,-1.68376,2296
(AF337128_Lampropeltis_alterna;Lycodon_aulicus_205000),1.04017,1.05575,1530.55,874.577,841.513,33.0637,0.253404,2299
(AF337128_Lampropeltis_alterna;Lycodon_aulicus_CDS4621),1.41119,1.57922,2372,491.048,461.282,29.7661,0.498029,2299
(AF337128_Lampropeltis_alterna;Lycodon_aulicus_CDS658),1.04529,1.05723,1543.71,891.284,854.835,36.4497,0.449222,2299
