"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test"
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1949|Avian|A/chicken/Germany/N/1949|Germany|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1949|Avian|A/chicken/Germany/N/1949|Germany|H10N7",0.108235984288066,10.4148,0.0479623736568046,7.90751,0.473973254361489,2.5073,0.233920642873254,1.19032,0,2.47288,0,2.4656,0,2917.46
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1976|Avian|A/chicken/Victoria/1976|Australia|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1976|Avian|A/chicken/Victoria/1976|Australia|H7N7",0.201391166579244,8.53619,0.499284855733587,2.36978,0.103788811925561,6.16641,0.238732825811176,1.17816,0,2.32288,0,2.30968,0,2598.81
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1976|Avian|A/duck/Victoria/1976|Australia|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1976|Avian|A/duck/Victoria/1976|Australia|H7N7",0.205762179536707,8.46829,0.535700468284493,2.181,0.0984394918232884,6.28729,0.24270996988356,1.16824,0,2.33392,0,2.31746,0,2579.86
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1977|Avian|A/pintail_duck/ALB/303/1977|Canada|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1977|Avian|A/pintail_duck/ALB/303/1977|Canada|H10N7",0.727141458677379,3.62597,0.588223912150744,1.9245,0.636607030446223,1.70147,0.623270147653289,-0.491221,0,2.0028,0,1.99489,0,1920.16
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1979|Avian|A/goose/Leipzig/187-7/1979|Germany|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1979|Avian|A/goose/Leipzig/187-7/1979|Germany|H7N7",0.105233737539565,10.4967,0.19004456709895,4.76241,0.125275840056883,5.73433,0.102561569724265,1.63256,0,2.42292,0,2.4031,0,2564.57
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1979|Avian|A/mallard_duck/Minnesota/19/1979|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1979|Avian|A/mallard_duck/Minnesota/19/1979|USA|H10N7",0.66380436912297,4.09513,0.747098496708689,1.22465,0.412028682622169,2.87048,0.683781787816057,-0.407308,0,2.01736,0,2.00908,0,1944.91
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1980|Avian|A/duck/Potsdam/15/1980|Germany|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1980|Avian|A/duck/Potsdam/15/1980|Germany|H7N7",0.139299742864818,9.66903,0.166870782705882,5.0682,0.203470891638745,4.60083,0.095695489991291,1.66609,0,2.3659,0,2.3579,0,2652.66
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1984|Avian|A/redhead_duck/ALB/767/1984|Canada|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1984|Avian|A/redhead_duck/ALB/767/1984|Canada|H10N7",0.743145961433516,3.50619,0.711586323124637,1.37423,0.545474145953899,2.13196,0.659110923104924,0.441141,0,2.02098,0,2.01254,0,1952.05
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1985|Avian|A/chicken/Victoria/1985|Australia|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1985|Avian|A/chicken/Victoria/1985|Australia|H7N7",0.252389359258266,7.80957,0.139190516274617,5.49079,0.508932707802102,2.31878,0.228249630529043,1.20488,0,2.37716,0,2.36741,0,2702.78
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1985|Avian|A/starling/Victoria/1985|Australia|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1985|Avian|A/starling/Victoria/1985|Australia|H7N7",0.252389359258266,7.80957,0.139190516274617,5.49079,0.508932707802102,2.31878,0.228249630529043,1.20488,0,2.37716,0,2.36741,0,2702.78
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1986|Avian|A/herring_gull/Delaware/471/1986|USA|H2N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1986|Avian|A/herring_gull/Delaware/471/1986|USA|H2N7",0.602991594378215,4.54765,0.599350816025904,1.8722,0.444413731838416,2.67546,0.460088578423508,0.738701,0,2.03136,0,2.02457,0,1967.29
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1986|Avian|A/laughing_gull/New_Jersey/798/1986|USA|H2N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1986|Avian|A/laughing_gull/New_Jersey/798/1986|USA|H2N7",0.714315043177166,3.72142,0.531584070831609,2.20185,0.677761005985431,1.51957,0.6034288449927,0.519476,0,2.03552,0,2.02917,0,1975.51
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1987|Avian|A/ruddy_turnstone/DE/2764/1987|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1987|Avian|A/ruddy_turnstone/DE/2764/1987|USA|H10N7",0.557131486505894,4.89668,0.706378807857146,1.3964,0.320725807560518,3.50028,0.722419538962007,-0.355227,0,2.01064,0,2.00226,0,1934.21
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1988|Avian|A/green-winged_teal/LA/169GW/1988|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1988|Avian|A/green-winged_teal/LA/169GW/1988|USA|H10N7",0.657757353878734,4.13985,0.679344597320608,1.51269,0.452747931318652,2.62716,0.572249262348477,-0.564742,0,1.99485,0,1.98704,0,1910.91
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1988|Avian|A/ruddy_turnstone/DE/2378/1988|USA|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1988|Avian|A/ruddy_turnstone/DE/2378/1988|USA|H7N7",0.492351537615608,5.4104,0.532801749693684,2.19567,0.359688047185352,3.21473,0.544441710991072,-0.60611,0,2.01386,0,2.00709,0,1945.77
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1989|Avian|A/mallard/Ohio/122/1989|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1989|Avian|A/mallard/Ohio/122/1989|USA|H10N7",0.562226022763575,4.85742,0.661064340616434,1.59262,0.352571953776721,3.2648,0.601401601635527,-0.522386,0,1.99339,0,1.98536,0,1906.27
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1989|Avian|A/red_knot/NJ/325/1989|USA|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1989|Avian|A/red_knot/NJ/325/1989|USA|H7N7",0.670103502568247,4.04857,0.671097452213813,1.54861,0.475300119530425,2.49995,0.926121876550958,0.0927252,0,2.01646,0,2.00747,0,1941.97
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1991|Avian|A/duck/Alaska/658/1991|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1991|Avian|A/duck/Alaska/658/1991|USA|H10N7",0.495997483397496,5.38065,0.486048120438032,2.441,0.401023858730862,2.93965,0.604277574856425,-0.518259,0,1.98809,0,1.98119,0,1895.5
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1991|Avian|A/turkey/VA/31409/1991|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1991|Avian|A/turkey/VA/31409/1991|USA|H10N7",0.748828648977539,3.46343,0.789849938870784,1.04713,0.490605742990087,2.41631,0.641448149707146,-0.465675,0,2.00767,0,1.99771,0,1928.04
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1993|Avian|A/pintail/Alberta/129/1993|Canada|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1993|Avian|A/pintail/Alberta/129/1993|Canada|H10N7",0.617345191021406,4.44008,0.731787197263582,1.28883,0.368888137700958,3.15125,0.993606060930976,0.0080137,0,1.99601,0,1.9858,0,1903.4
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1995|Avian|A/quail/NJ/25254-22/1995|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1995|Avian|A/quail/NJ/25254-22/1995|USA|H10N7",0.462301349669234,5.66027,0.281703470083594,3.81883,0.60595891270129,1.84144,0.786944081391713,-0.270281,0,2.02228,0,2.01185,0,1886.01
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1996|Avian|A/emu/California/2092/1996|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1996|Avian|A/emu/California/2092/1996|USA|H10N7",0.284758494091488,7.40798,0.651065742957634,1.63684,0.123290918173894,5.77115,0.257655455962525,1.13195,0,2.00866,0,2.00085,0,1930.28
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1996|Avian|A/mallard/ALB/196/1996|Canada|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1996|Avian|A/mallard/ALB/196/1996|Canada|H10N7",0.668865401909568,4.05772,0.769916882867018,1.12967,0.402851999770193,2.92805,0.42348950664078,0.800382,0,2.02716,0,2.01772,0,1959.45
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1996|Avian|A/shorebird/Delaware_Bay/31/1996|USA|H9N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1996|Avian|A/shorebird/Delaware_Bay/31/1996|USA|H9N7",0.519142776269023,5.19432,0.422873107202121,2.80381,0.495401761379436,2.39052,0.890788928042697,-0.137306,0,2.01246,0,2.00733,0,1943.21
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1997|Avian|A/duck/Shimane/45/1997|Japan|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1997|Avian|A/duck/Shimane/45/1997|Japan|H10N7",0.167622000382385,9.1075,0.36570609341055,3.17305,0.114843293555828,5.93445,0.752975776223608,0.314718,0,2.36434,0,2.35595,0,2676.77
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1999|Avian|A/chicken/California/755/1999|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1999|Avian|A/chicken/California/755/1999|USA|H10N7",0.399681109911046,6.21371,0.530460822471882,2.20756,0.260801883713891,4.00614,0.304467554318433,1.0269,0,2.02982,0,2.01474,0,1864.19
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1999|Avian|A/duck/Taiwan/4201/99|Taiwan|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1999|Avian|A/duck/Taiwan/4201/99|Taiwan|H7N7",0.19345187851234,8.66275,0.180514757553059,4.88369,0.286331217286476,3.77906,0.942102303932306,0.0726278,0,2.34042,0,2.33382,0,2632.67
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1999|Avian|A/mallard/Minnesota/17/1999|USA|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1999|Avian|A/mallard/Minnesota/17/1999|USA|H7N7",0.535012173059087,5.06886,0.623934699886566,1.75883,0.346249093416234,3.31003,0.402565025712977,0.837049,0,2.01909,0,2.01165,0,1945.36
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1999|Avian|A/quail/California/1022/1999|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1999|Avian|A/quail/California/1022/1999|USA|H10N7",0.387670739680373,6.32608,0.612937133669711,1.80919,0.210788676622404,4.51689,0.265412200814446,1.11369,0,2.03299,0,2.01715,0,1867.83
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;1999|Avian|A/shorebird/Delaware_Bay/267/1999|USA|mixedN7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","1999|Avian|A/shorebird/Delaware_Bay/267/1999|USA|mixedN7",0.398838472493888,6.22152,0.769736110085541,1.13042,0.165246611500432,5.0911,0.630758164458616,0.48066,0,2.32983,0,2.31862,0,2599.6
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2000|Avian|A/blue-winged_teal/Texas/108/2000|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2000|Avian|A/blue-winged_teal/Texas/108/2000|USA|H10N7",0.547173987812416,4.97383,0.862859612705336,0.743787,0.237670478337014,4.23005,0.55846165295647,0.585128,0,2.03978,0,2.02993,0,1979.54
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2000|Avian|A/mallard/Alberta/127/2000|Canada|mixedN7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2000|Avian|A/mallard/Alberta/127/2000|Canada|mixedN7",0.50929681018611,5.27307,0.683789821536389,1.49342,0.286262066931936,3.77965,0.389791247453386,0.859996,0,2.02758,0,2.02004,0,1962.77
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2000|Avian|A/mallard/Netherlands/02/2000|Netherlands|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2000|Avian|A/mallard/Netherlands/02/2000|Netherlands|H10N7",0.290056470174768,7.3457,0.816265862078419,0.937931,0.0933720708697798,6.40776,0.760061521788704,0.3054,0,2.37122,0,2.35787,0,2678.95
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2000|Avian|A/northern_shoveler/TX/56/2000|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2000|Avian|A/northern_shoveler/TX/56/2000|USA|H10N7",0.547173987812416,4.97383,0.862859612705336,0.743787,0.237670478337014,4.23005,0.55846165295647,0.585128,0,2.03978,0,2.02993,0,1979.54
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2000|Avian|A/pintail/Alberta/202/2000|Canada|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2000|Avian|A/pintail/Alberta/202/2000|Canada|H10N7",0.369740756689665,6.4983,0.556189148902284,2.07892,0.219595124780928,4.41938,0.454223143532171,0.748393,0,2.01665,0,2.0105,0,1946.17
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2001|Avian|A/mallard/Maryland/161/2001|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2001|Avian|A/mallard/Maryland/161/2001|USA|H10N7",0.61267511109939,4.47501,0.744749403262371,1.23447,0.356004475717292,3.24054,0.618982447323752,0.497293,0,2.0239,0,2.0158,0,1955.54
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2001|Avian|A/ruddy_turnstone/Delaware/1057/2001|USA|H10N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2001|Avian|A/ruddy_turnstone/Delaware/1057/2001|USA|H10N7",0.616698933709953,4.44491,0.786793546958658,1.05977,0.335968795086492,3.38513,0.61939780128095,0.496704,0,2.02182,0,2.01335,0,1950.94
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2002|Avian|A/duck/Mongolia/583/02|Mongolia|H4N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2002|Avian|A/duck/Mongolia/583/02|Mongolia|H4N7",0.433537070279786,5.90833,0.350109561334241,3.28233,0.452949632653328,2.626,0.781778570437993,0.277002,0,2.34202,0,2.33217,0,2626.01
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2002|Avian|A/mallard/Sweden/110/2002|Sweden|H11N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2002|Avian|A/mallard/Sweden/110/2002|Sweden|H11N7",0.282658910223261,7.43291,0.286325356505128,3.77911,0.301355736050915,3.6538,0.899669390380802,0.126079,0,2.33252,0,2.32354,0,2609.02
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2003|Avian|A/chicken/Germany/R28/03|Germany|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2003|Avian|A/chicken/Germany/R28/03|Germany|H7N7",0.399163088759864,6.21851,0.460201048793926,2.58457,0.30380026722173,3.63395,0.953766391463137,0.0579777,0,2.35413,0,2.3444,0,2649.49
"(1935|Avian|A/chicken/Brescia/1902|Italy|H7N7;2003|Avian|A/chicken/Netherlands/1/03|Netherlands|H7N7)","1935|Avian|A/chicken/Brescia/1902|Italy|H7N7","2003|Avian|A/chicken/Netherlands/1/03|Netherlands|H7N7",0.37313653718708,6.46525,0.431424198047922,2.75223,0.294166756259325,3.71302,0.955435890003203,0.0558819,0,2.35317,0,2.34364,0,2648.57
