Sequences,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(BJS001;BJS003),2.15584,2.1235,6008.46,430.042,428.659,1.38339,-0.457613,3772
(BJS001;BJS007),1.36903,1.47374,3673.57,1133.91,1130.89,3.01852,-0.675257,3766
(BJS001;BJS008),2.58474,2.42095,7409.5,21.6304,11.535,10.0954,-0.939201,3771
(BJS001;BJS010),2.58664,2.4041,7311.71,6.59833,2.62948,3.96885,-0.739293,3773
(BJS001;BJS011),2.54992,2.379,7164.54,6.53475,5.05437,1.48039,-0.241373,3773
(BJS001;BJS012),3.01384,2.79099,9822.46,63.5127,62.2877,1.22503,-0.618162,3774
(BJS001;BJS013),2.51156,2.40438,7439.94,177.582,176.162,1.41968,-0.319713,3774
(BJS001;BJS014),1.68343,1.75266,4603.42,901.414,891.597,9.81667,-0.022672,3766
(BJS001;BJS015),1.48986,1.61625,4521.68,1271.28,1270.6,0.680402,-0.352893,3775
(BJS001;BJS017),2.85193,2.66436,8946.32,12.2419,6.60636,5.63555,-1.44924,3772
(BJS001;BJS018),2.69481,2.49539,7872.11,28.0588,22.9543,5.10446,-0.298655,3771
(BJS001;BJS019),2.53538,2.36741,7104.26,15.0041,14.0274,0.976727,-0.480912,3773
(BJS001;BJS020),2.5,2.33394,6880.91,12.5844,3.28553,9.29885,-0.0324491,3761
(BJS001;BJS021),2.54651,2.35865,7044.56,9.47491,5.15129,4.32362,-0.963416,3773
(BJS001;BJS022),2.86749,2.68244,9074.13,9.00182,6.94007,2.06175,-0.529593,3775
(BJS001;BJS023),2.16864,2.10146,5802.67,249.768,247.491,2.2765,0.109266,3773
(BJS001;BJS024),2.60595,2.42476,7434.3,11.762,2.77922,8.98281,-0.309713,3772
(BJS001;BJS025),2.57002,2.37765,7149.12,13.3991,12.3208,1.07835,-0.44814,3767
(BJS001;BJS026),2.59221,2.39284,7106.22,29.3542,24.7635,4.59071,0.402962,3700
(BJS001;BJS027),1.3743,1.45322,3417.42,856.402,851.428,4.97333,-0.28113,3771
(BJS001;BJS029),2.44984,2.33562,6959.39,121.236,120.129,1.10608,0.956991,3771
(BJS001;BJS030),2.6525,2.48317,7779.37,12.2914,9.71201,2.57944,0.0359893,3767
(BJS001;BJS034),2.14629,2.08811,5733.67,277.209,276.315,0.893728,-0.709454,3772
(BJS001;BJS035),2.43624,2.31554,6815.19,82.1138,77.6075,4.50631,0.616447,3769
(BJS001;BJS036),2.1142,2.04669,5496.51,224.753,216.966,7.78652,-1.82262,3771
(BJS001;BJS037),2.38338,2.23763,6385.18,37.7531,35.7573,1.99587,-0.455761,3775
(BJS001;BJS040),2.18982,2.1486,6104.78,404.277,403.319,0.957376,0.822669,3768
