"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test"
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1945_Avian_A_fowl_Egypt_45_Egypt_H7N1)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1945_Avian_A_fowl_Egypt_45_Egypt_H7N1",0.645683800040518,4.22925,0.466997754383512,2.54621,0.640710951367635,1.68304,0.796992735230569,0.257241,0,2.53224,0,2.53858,0,3604.82
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1976_Avian_A_chicken_Victoria_1976_Australia_H7N1)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1976_Avian_A_chicken_Victoria_1976_Australia_H7N1",0.177733963643728,8.92685,0.198122610862837,4.66397,0.234440346036936,4.26289,0.491077538960178,0.688596,0,2.3914,0,2.39724,0,3298.12
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1971_Avian_A_turkey_Oregon_1971_USA_H7N3)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1971_Avian_A_turkey_Oregon_1971_USA_H7N3",0.969788081660179,1.33333,0.963645293412092,0.280543,0.78848121231196,1.05279,0.372025349720979,0.892686,0,2.02924,0,2.0286,0,2342.98
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1972_Avian_A_duck_Hongkong_301_72_Hong_Kong_H7N1)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1972_Avian_A_duck_Hongkong_301_72_Hong_Kong_H7N1",0.186734647542825,8.7733,0.133901747401065,5.58051,0.362846601042603,3.19278,0.794532104449846,0.26043,0,2.43041,0,2.42779,0,3358.42
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1973_Avian_A_parrot_Northern_Ireland_VF-73-67_73_United_Kingdom_H7N1)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1973_Avian_A_parrot_Northern_Ireland_VF-73-67_73_United_Kingdom_H7N1",0.0629689394172862,11.9555,0.211277460694701,4.51138,0.0590128191304149,7.44408,0.554210239226289,0.591463,0,2.42161,0,2.41561,0,3331.14
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1976_Avian_A_duck_Alberta_49_1976_Canada_H7N_)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1976_Avian_A_duck_Alberta_49_1976_Canada_H7N_",0.96084922467259,1.47943,0.911916228761848,0.53151,0.813851351520181,0.947918,0.96532950897643,0.0434667,0,2.06489,0,2.05999,0,2407.37
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1976_Avian_A_duck_Victoria_1976_Australia_H7N7)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1976_Avian_A_duck_Victoria_1976_Australia_H7N7",0.249253624887973,7.85061,0.186649642726952,4.80495,0.384638738428796,3.04566,0.327672879365859,0.978812,0,2.40403,0,2.40662,0,3304.5
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1977_Avian_A_blue-winged_teal_ALB_295_1977_Canada_H7N3)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1977_Avian_A_blue-winged_teal_ALB_295_1977_Canada_H7N3",0.989025916210081,0.902928,0.970400061121525,0.242805,0.882540869059552,0.660123,0.661592169521791,0.437716,0,2.0748,0,2.07054,0,2433.82
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1977_Avian_A_mallard_duck_ALB_224_1977_Canada_H7N5)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1977_Avian_A_mallard_duck_ALB_224_1977_Canada_H7N5",0.955261872316527,1.56212,0.900527899820844,0.582055,0.806075239995312,0.980066,0.625620674513271,0.4879,0,2.05494,0,2.04964,0,2385.48
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1977_Avian_A_turkey_England_647_77_United_Kingdom_H7N7)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1977_Avian_A_turkey_England_647_77_United_Kingdom_H7N7",0.0430613620586106,12.9984,0.240314701984809,4.20347,0.0321448065721497,8.79497,0.859725973833307,-0.176723,0,2.41653,0,2.41599,0,3326.32
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1977_Avian_A_widgeon_Alberta_284_1977_Canada_H7N3)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1977_Avian_A_widgeon_Alberta_284_1977_Canada_H7N3",0.989025916210081,0.902928,0.970400061121525,0.242805,0.882540869059552,0.660123,0.661592169521791,0.437716,0,2.0748,0,2.07054,0,2433.82
"(1935_Avian_A_chicken_Brescia_1902_Italy_H7N7;1978_Avian_A_duck_Hong_Kong_293_1978_Hong_Kong_H7N2)","1935_Avian_A_chicken_Brescia_1902_Italy_H7N7","1978_Avian_A_duck_Hong_Kong_293_1978_Hong_Kong_H7N2",0.185344415333807,8.7966,0.162076047199759,5.13642,0.300573770876242,3.66018,0.855141702779763,0.182562,0,2.42618,0,2.42305,0,3347.41
