Sequences,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(Archaius_tigris_Caltig2;Bradypodion_atromontanum_Swartberg_KT016),2.50253,2.47231,7565.84,16.2052,10.6337,5.57147,-1.70648,3690
(Archaius_tigris_Caltig2;Bradypodion_caeruleogula_Ngoya_KTH676),2.50469,2.47007,7428.03,16.1612,10.0479,6.11329,-1.73997,3630
(Archaius_tigris_Caltig2;Bradypodion_caffer_PortStJohns_CT167),2.40714,2.39364,6678.6,30.4561,22.9724,7.48374,-1.72368,3471
(Archaius_tigris_Caltig2;Bradypodion_damaranum_Witelsbos_KTH118),2.43993,2.43874,6127.52,13.7756,11.1558,2.61987,-1.3469,3068
(Archaius_tigris_Caltig2;Bradypodion_dracomontanum_MH1057),1.38704,1.53971,4035.16,1044.26,1043.84,0.415386,0.27739,4002
(Archaius_tigris_Caltig2;Bradypodion_gutturale_Karoo_KT047),2.48399,2.46096,6924.46,24.4871,17.7657,6.72137,-1.88462,3408
(Archaius_tigris_Caltig2;Bradypodion_kentanicum_Mazeppa_CT183),2.46332,2.44306,7202.59,16.0307,12.9112,3.11951,-1.23435,3595
(Archaius_tigris_Caltig2;Bradypodion_melanocephalum_Hilton_CT016),2.40375,2.39754,7372.16,33.0324,25.8687,7.16367,-1.28919,3819
(Archaius_tigris_Caltig2;Bradypodion_nemorale_Qudeni_CT146),2.4959,2.45824,7864.89,18.5827,11.7584,6.82426,-1.60533,3878
(Archaius_tigris_Caltig2;Bradypodion_ngomeense_Ngome_CT065),2.43481,2.41741,7829.22,23.0006,18.9565,4.04409,-0.9228,3988
(Archaius_tigris_Caltig2;Bradypodion_occidentale_5618),2.51262,2.46101,9749.12,25.0319,19.7918,5.24015,-1.60534,4796
(Archaius_tigris_Caltig2;Bradypodion_pumilum_Elim_KTH115),2.47022,2.4471,7132.87,18.9604,11.3094,7.65102,-1.94624,3546
(Archaius_tigris_Caltig2;Bradypodion_setaroi_Dukuduku_CT066),2.27123,2.29652,5085.87,31.6202,25.5804,6.0398,-1.0557,2863
(Archaius_tigris_Caltig2;Bradypodion_taeniabronchum_Elandsberg_KT039),2.39372,2.40676,5908.46,17.55,15.1778,2.37219,-0.676144,3037
(Archaius_tigris_Caltig2;Bradypodion_thamnobates_Nottingham_fused),2.41648,2.40877,7702.5,26.3928,17.7422,8.65067,-1.01128,3949
(Archaius_tigris_Caltig2;Bradypodion_transvaalense_Soutpansberg_CT061),2.5151,2.47585,7710.54,17.6326,12.3785,5.25404,-1.10064,3749
(Archaius_tigris_Caltig2;Bradypodion_ventrale_Groendal_KTH153),2.4477,2.43045,6807.57,19.4341,17.5089,1.92525,-0.380776,3433
(Archaius_tigris_Caltig2;Brookesia_ambreensis_FGZC_445),2.36034,2.32837,8689.13,18.0258,13.8151,4.21068,0.283749,4770
(Archaius_tigris_Caltig2;Brookesia_antakarana_FGZC_444),2.36302,2.32977,8706.98,17.8877,13.1777,4.71002,0.829131,4774
(Archaius_tigris_Caltig2;Brookesia_betschi_ZCMV_2015),2.36447,2.33239,8639.92,22.0815,13.0971,8.98442,1.14306,4725
(Archaius_tigris_Caltig2;Brookesia_bonsi),0.461858,0.425697,661.029,1100.76,1099.67,1.09682,-0.854032,2550
(Archaius_tigris_Caltig2;Brookesia_brygooi_61408),2.39512,2.35392,8907.51,9.34764,4.55407,4.79357,1.08823,4786
(Archaius_tigris_Caltig2;Brookesia_decaryi_B31),2.37494,2.33414,8612.33,5.74437,2.05278,3.69159,0.61217,4709
(Archaius_tigris_Caltig2;Brookesia_dentata_58383),2.31025,2.26844,8275.22,14.1718,7.73469,6.43713,-1.50872,4782
(Archaius_tigris_Caltig2;Brookesia_ebenaui_Ambre_FGZC_484),2.34789,2.31094,8517.05,33.7086,27.3669,6.34177,1.01358,4746
(Archaius_tigris_Caltig2;Brookesia_exarmata_FGZC_816),2.35071,2.29368,8503.77,25.8627,24.8833,0.979479,0.138337,4800
(Archaius_tigris_Caltig2;Brookesia_griveaudi_FGZC_2803),2.33471,2.30153,8509.17,14.924,7.64001,7.28396,1.07339,4776
(Archaius_tigris_Caltig2;Brookesia_karchei_FGZC_2752),2.28811,2.25367,8136.71,12.4894,5.7866,6.70277,0.672145,4760
(Archaius_tigris_Caltig2;Brookesia_lineata_G33),2.33783,2.31779,8619.84,38.59,35.6373,2.95268,1.00305,4772
(Archaius_tigris_Caltig2;Brookesia_lolontany_AF443234),0.477613,0.442205,681.554,1125.81,1119.28,6.53022,0.866024,2550
(Archaius_tigris_Caltig2;Brookesia_minima_Manongarivo_FGMV_2002_786),2.27848,2.24772,8085.06,23.2129,17.7596,5.45335,0.778029,4758
(Archaius_tigris_Caltig2;Brookesia_nasus_Ranomafana_FGMV_2002_445),2.30095,2.26691,8217.84,37.4873,34.3239,3.1634,0.185237,4745
(Archaius_tigris_Caltig2;Brookesia_perarmata_FGZC_703),2.39414,2.34862,8881.46,3.00591,0.819032,2.18688,0.496004,4796
(Archaius_tigris_Caltig2;Brookesia_peyrierasi_NosyMangabe_ZCMV_2191),2.31966,2.29073,8342.79,16.5926,12.1939,4.3987,0.332675,4733
(Archaius_tigris_Caltig2;Brookesia_ramanantsoai_FG1),2.31228,2.28257,8342.08,17.3713,9.86283,7.5085,0.749112,4761
(Archaius_tigris_Caltig2;Brookesia_aff_minima_Betampona_BET11),2.35206,2.31865,8532.3,4.44429,1.19321,3.25108,0.69555,4717
(Archaius_tigris_Caltig2;Brookesia_desperata_FdAmbre_FGZC_1880),2.04301,2.07425,6351.6,398.394,391.816,6.57834,-2.17146,4222
(Archaius_tigris_Caltig2;Brookesia_aff_exarmata_MdF_477_MdF477),2.3032,2.27,8277.03,16.1604,7.41036,8.75,0.405238,4775
(Archaius_tigris_Caltig2;Brookesia_aff_NosyHara_FGZC_1831),2.23162,2.21487,7010.39,34.8662,21.9689,12.8973,-1.31626,4239
(Archaius_tigris_Caltig2;Brookesia_stumpffi_Manongarivo_FGMV_2002_2207),2.36836,2.34113,8789.83,33.9095,26.8395,7.07001,0.663685,4773
(Archaius_tigris_Caltig2;Brookesia_superciliaris_Ranomafana_FGMV_2002_627),2.33072,2.30257,8446.59,16.5972,8.86599,7.73118,0.269434,4740
(Archaius_tigris_Caltig2;Brookesia_therezieni_1107),2.33021,2.2991,8243.08,11.7776,6.5848,5.1928,0.45984,4644
(Archaius_tigris_Caltig2;Brookesia_thieli_Ambohitantely_ZCMV_752),2.36146,2.33167,8666.98,20.8466,13.1972,7.64931,0.952398,4742
(Archaius_tigris_Caltig2;Brookesia_tuberculata_FGZC_479),2.31398,2.28586,8264.45,16.0057,11.0308,4.97495,0.0749307,4709
(Archaius_tigris_Caltig2;Brookesia_vadoni_Marojejy_FGZC_2739),2.38124,2.33673,8687.49,10.2556,4.20049,6.05513,0.16347,4728
(Archaius_tigris_Caltig2;Brookesia_valeriae),0.473316,0.427946,672.998,1138.81,1135.26,3.5571,-0.225465,2550
(Archaius_tigris_Caltig2;Calumma_amber_Ambre_504),2.51376,2.4683,9709.65,22.7533,21.4164,1.33692,0.413716,4746
(Archaius_tigris_Caltig2;Calumma_ambreense_Manarikoba_E36),2.52929,2.48018,9943.41,23.7855,22.2122,1.57334,0.457168,4814
(Archaius_tigris_Caltig2;Calumma_andringitraense_Andringitra_E11),2.48546,2.4506,9608.86,31.4392,30.6238,0.815457,-0.49482,4763
(Archaius_tigris_Caltig2;Calumma_boettgeri_NosyBe_D12),2.47963,2.42946,9461.05,17.2008,16.7659,0.434899,-0.489714,4774
(Archaius_tigris_Caltig2;Calumma_brevicornis_Andasibe_A47),2.49982,2.463,9732.85,21.0367,19.0851,1.95154,1.1466,4779
(Archaius_tigris_Caltig2;Calumma_capuroni_FGZC_2514),2.49303,2.43892,9591.38,34.583,29.8192,4.76376,0.351383,4799
(Archaius_tigris_Caltig2;Calumma_cf_cucullatum_Mahasoa_DRV_5713),2.4125,2.39441,8023.65,26.5316,23.2694,3.26221,-0.581364,4163
(Archaius_tigris_Caltig2;Calumma_cf_fallax_Ambohitsara_ZCMV_152),2.43117,2.38049,9096.46,23.0881,19.2357,3.8524,0.290929,4783
(Archaius_tigris_Caltig2;Calumma_vencesi_Makira_ZCMV_11275),2.42221,2.3965,8226.64,47.0671,46.3995,0.66761,-0.368487,4252
(Archaius_tigris_Caltig2;Calumma_crypticum_fused),2.40152,2.38533,9239.61,116.842,112.203,4.63862,1.13127,4815
(Archaius_tigris_Caltig2;Calumma_furcifer_Vohidrazana_A11),2.45005,2.42021,9223.94,40.8251,38.3882,2.43689,-1.18891,4681
(Archaius_tigris_Caltig2;Calumma_gallus_Manombo_ZCMV_492),2.09985,2.1252,7425.31,246.397,245.699,0.698046,0.491911,4798
(Archaius_tigris_Caltig2;Calumma_gallus_Vohidrazana_B8),2.21137,2.22487,8176.82,267.364,260.742,6.6218,0.719029,4830
(Archaius_tigris_Caltig2;Calumma_gastrotaenia_Andasibe_FGMV_2002_987),2.49119,2.44499,9299.09,36.203,29.7728,6.43016,-0.639944,4639
(Archaius_tigris_Caltig2;Calumma_glawi_Ranomafana_FGMV_2002_321),2.49995,2.45462,9612.29,19.6175,19.1192,0.49834,-0.530172,4752
(Archaius_tigris_Caltig2;Calumma_globifer_Mandraka_D2),2.52208,2.47336,9768.74,31.7231,27.9691,3.754,1.14485,4753
(Archaius_tigris_Caltig2;Calumma_guibei_TsaratananaCamp2_DRV6140),2.15509,2.1702,5907.97,107.649,105.435,2.21382,-1.02303,3697
(Archaius_tigris_Caltig2;Calumma_linotum_Manarikoba_E36),2.44097,2.39976,9274.97,37.734,36.3104,1.42362,-0.095034,4795
(Archaius_tigris_Caltig2;Calumma_guillaumeti_Marojejy_ZCMV_2076),2.51827,2.4713,9790.31,24.0593,23.234,0.825244,-0.452415,4775
(Archaius_tigris_Caltig2;Calumma_hilleniusi_Ankaratra_ZCMV_2944),2.50303,2.45955,9812.24,27.9211,24.8974,3.02372,-0.759906,4832
(Archaius_tigris_Caltig2;Calumma_malthe_Mantadia_D6),2.50353,2.45463,9484,26.3764,25.458,0.918374,0.680228,4687
(Archaius_tigris_Caltig2;Calumma_marojezense_TAND2),2.4506,2.44751,4719.04,22.6539,21.8431,0.810823,-0.385149,2346
(Archaius_tigris_Caltig2;Calumma_nasutum_Andasibe_FGMV_2002_984),2.45699,2.40946,9365.2,22.8491,20.9755,1.87362,0.0766928,4805
(Archaius_tigris_Caltig2;Calumma_nasutum_Marojejy_ZCMV_2072),2.50077,2.43583,8746.88,27.0445,22.7047,4.33977,0.440163,4398
(Archaius_tigris_Caltig2;Calumma_nasutum_Andohahela_FGZC_2508),2.49853,2.44822,9566.51,42.2652,38.2089,4.05631,0.396168,4744
(Archaius_tigris_Caltig2;Calumma_nasutum_Kidonavo_ZCMV_2891),2.44627,2.41053,9408.47,59.3516,55.6521,3.69953,0.936771,4814
(Archaius_tigris_Caltig2;Calumma_nasutum_Makira_ZCMV_11292),2.31111,2.28734,5849.57,24.688,21.6536,3.0344,0.38589,3316
(Archaius_tigris_Caltig2;Calumma_vohibola_SG3756),1.96161,2.0358,3630.17,278.968,276.854,2.11378,-0.217191,2479
(Archaius_tigris_Caltig2;Calumma_oshaughnessyi_Ranomafana_ZCMV_604),2.45496,2.41919,9326.61,31.0544,27.1083,3.94605,0.896506,4747
(Archaius_tigris_Caltig2;Calumma_parsonii_cristifer_Mahasoa_DRV_5714),2.40867,2.3982,7908.21,30.0454,28.9393,1.10608,0.0704272,4089
(Archaius_tigris_Caltig2;Calumma_peltierorum_Manarikoba_G22),2.53204,2.48792,10041,27.2706,24.1691,3.10144,-0.214549,4832
(Archaius_tigris_Caltig2;Calumma_tarzan_FGZC4499),2.42521,2.40077,7316.77,28.3434,27.0309,1.31253,-0.00524747,3769
(Archaius_tigris_Caltig2;Calumma_tsaratananensis_ZFMK12415),2.52916,2.48369,7106.82,17.3929,14.1132,3.27967,-0.848466,3432
(Archaius_tigris_Caltig2;Calumma_peyrierasi_ZCMV12416),2.51779,2.46653,6803.52,20.0591,16.417,3.64206,-0.570238,3332
(Archaius_tigris_Caltig2;Calumma_hafahafa_DRV6282),2.48699,2.44853,6668.59,37.2929,31.1125,6.18044,-1.24064,3310
(Archaius_tigris_Caltig2;Chamaeleo_africanus_MVZ_238898),2.34386,2.32528,8688.07,57.0621,56.027,1.0351,-0.335223,4774
(Archaius_tigris_Caltig2;Chamaeleo_anchietae_Huila_KTH09_113),2.39424,2.38456,7483.43,41.9665,41.863,0.103568,0.232051,3906
(Archaius_tigris_Caltig2;Chamaeleo_arabicus_246129),2.5214,2.46151,8977.32,15.8613,14.1927,1.66866,0.379984,4415
(Archaius_tigris_Caltig2;Chamaeleo_calcaricarens_241362),2.05779,2.10024,7224.63,342.291,337.229,5.06206,0.673762,4734
(Archaius_tigris_Caltig2;Chamaeleo_calyptratus_ZSM_801_2000),2.38014,2.37649,7041.91,37.325,36.4434,0.881658,0.293966,3704
(Archaius_tigris_Caltig2;Chamaeleo_chamaeleon_fused),2.3136,2.3244,6408.49,21.8357,18.0367,3.79902,1.68968,3517
(Archaius_tigris_Caltig2;Chamaeleo_dilepis_Huila_KTH09_285),2.42347,2.41153,7090.02,27.6306,26.4265,1.20403,-0.25947,3633
(Archaius_tigris_Caltig2;Chamaeleo_gracilis_Guinea_CT088),2.37075,2.3889,5610.25,20.7671,18.0112,2.75595,1.18931,2926
(Archaius_tigris_Caltig2;Chamaeleo_monachus_236483),2.3937,2.37713,8064.32,28.9234,26.6679,2.25547,0.380011,4247
